metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "7.602, 8.067, 8.500, 8.638, 9.185", "s, s, s, s, s"
train metadata time, 41.992, s
train raw read time per epoch, "12.508, 13.125, 12.478, 12.734, 11.442", "s, s, s, s, s"
train total raw read time, 62.287, s
train raw read rate per epoch, "214.898, 204.806, 215.413, 211.081, 234.933", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 216.227, MB/s
train observed time per epoch, "47.004, 46.251, 46.812, 48.270, 47.451", "s, s, s, s, s"
train observed time, 235.788, s
train observed rate per epoch, "59.646, 60.659, 59.900, 58.015, 59.059", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 59.456, MB/s
train throughput samples per second per epoch, "0.894, 0.908, 0.897, 0.870, 0.885", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.891, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 57.012, MB/s
train io stdev, 833.356, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "2.069, 2.111, 1.779, 2.084, 1.833", "s, s, s, s, s"
eval metadata time, 9.876, s
eval raw read time per epoch, "3.826, 4.405, 5.176, 4.976, 4.984", "s, s, s, s, s"
eval total raw read time, 23.368, s
eval raw read rate per epoch, "200.271, 173.568, 147.819, 153.541, 153.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 166.372, MB/s
eval observed time per epoch, "18.823, 18.077, 19.747, 19.233, 19.120", "s, s, s, s, s"
eval observed time, 94.999, s
eval observed rate per epoch, "45.484, 47.586, 43.124, 44.406, 44.697", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.060, MB/s
eval throughput samples per second per epoch, "0.638, 0.664, 0.608, 0.624, 0.628", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.632, samples/s
eval throughput stdev samples per second, 0.019, samples/s
eval io avg, 40.455, MB/s
eval io stdev, 1.186, MB/s
