metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "7.011, 12.791, 12.497, 14.378, 20.784", "s, s, s, s, s"
train metadata time, 67.462, s
train raw read time per epoch, "14.402, 16.667, 13.594, 17.522, 17.470", "s, s, s, s, s"
train total raw read time, 79.656, s
train raw read rate per epoch, "186.640, 161.271, 197.733, 153.404, 153.861", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 170.582, MB/s
train observed time per epoch, "46.744, 46.630, 48.731, 48.897, 49.203", "s, s, s, s, s"
train observed time, 240.206, s
train observed rate per epoch, "59.991, 60.144, 57.444, 57.240, 56.870", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 58.338, MB/s
train throughput samples per second per epoch, "0.899, 0.901, 0.862, 0.859, 0.854", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.875, samples/s
train throughput stdev samples per second, 0.020, samples/s
train io avg, 55.982, MB/s
train io stdev, 1.312, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "3.088, 4.400, 2.527, 3.284, 3.056", "s, s, s, s, s"
eval metadata time, 16.355, s
eval raw read time per epoch, "3.646, 3.928, 4.190, 4.154, 4.083", "s, s, s, s, s"
eval total raw read time, 20.001, s
eval raw read rate per epoch, "209.808, 195.503, 183.105, 184.059, 187.873", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 192.482, MB/s
eval observed time per epoch, "19.289, 18.993, 18.770, 18.686, 17.990", "s, s, s, s, s"
eval observed time, 93.728, s
eval observed rate per epoch, "44.263, 45.030, 45.626, 45.856, 47.845", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.724, MB/s
eval throughput samples per second per epoch, "0.622, 0.632, 0.639, 0.642, 0.667", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.640, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 40.991, MB/s
eval io stdev, 981.771, KB/s
