metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "21.410, 18.094, 23.568, 21.791, 20.587", "s, s, s, s, s"
train metadata time, 105.449, s
train raw read time per epoch, "17.628, 20.437, 20.134, 20.170, 20.720", "s, s, s, s, s"
train total raw read time, 99.088, s
train raw read rate per epoch, "152.488, 131.525, 133.508, 133.270, 129.730", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.104, MB/s
train observed time per epoch, "53.975, 57.967, 58.658, 59.410, 61.294", "s, s, s, s, s"
train observed time, 291.303, s
train observed rate per epoch, "51.655, 47.975, 47.391, 46.771, 45.286", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.815, MB/s
train throughput samples per second per epoch, "0.778, 0.725, 0.716, 0.707, 0.685", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.722, samples/s
train throughput stdev samples per second, 0.031, samples/s
train io avg, 46.219, MB/s
train io stdev, 1.977, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "4.675, 4.758, 3.870, 5.187, 4.876", "s, s, s, s, s"
eval metadata time, 23.367, s
eval raw read time per epoch, "5.577, 6.304, 4.905, 5.466, 5.781", "s, s, s, s, s"
eval total raw read time, 28.034, s
eval raw read rate per epoch, "137.329, 121.116, 156.402, 140.189, 132.561", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 137.890, MB/s
eval observed time per epoch, "22.128, 22.026, 22.809, 22.446, 22.682", "s, s, s, s, s"
eval observed time, 112.090, s
eval observed rate per epoch, "38.039, 38.231, 36.798, 37.449, 37.021", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 37.508, MB/s
eval throughput samples per second per epoch, "0.542, 0.545, 0.526, 0.535, 0.529", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.535, samples/s
eval throughput stdev samples per second, 0.007, samples/s
eval io avg, 34.264, MB/s
eval io stdev, 475.760, KB/s
