metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.331, 12.625, 10.633, 10.679, 11.794", "s, s, s, s, s"
train metadata time, 56.063, s
train raw read time per epoch, "16.207, 17.032, 18.346, 19.074, 16.381", "s, s, s, s, s"
train total raw read time, 87.039, s
train raw read rate per epoch, "165.858, 157.824, 146.517, 140.921, 164.093", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 155.043, MB/s
train observed time per epoch, "55.206, 59.418, 58.634, 60.728, 60.430", "s, s, s, s, s"
train observed time, 294.415, s
train observed rate per epoch, "50.462, 46.764, 47.410, 45.722, 45.955", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.263, MB/s
train throughput samples per second per epoch, "0.761, 0.707, 0.716, 0.692, 0.695", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.714, samples/s
train throughput stdev samples per second, 0.025, samples/s
train io avg, 45.703, MB/s
train io stdev, 1.595, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.026, 2.356, 1.750, 2.183, 2.854", "s, s, s, s, s"
eval metadata time, 11.170, s
eval raw read time per epoch, "5.936, 5.323, 5.133, 4.555, 4.634", "s, s, s, s, s"
eval total raw read time, 25.581, s
eval raw read rate per epoch, "107.765, 120.162, 123.978, 140.189, 137.329", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 126.268, MB/s
eval observed time per epoch, "19.402, 20.887, 19.394, 19.965, 19.097", "s, s, s, s, s"
eval observed time, 98.745, s
eval observed rate per epoch, "35.980, 33.208, 35.997, 34.877, 36.608", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 35.334, MB/s
eval throughput samples per second per epoch, "0.515, 0.479, 0.516, 0.501, 0.524", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.507, samples/s
eval throughput stdev samples per second, 0.016, samples/s
eval io avg, 32.438, MB/s
eval io stdev, 1.014, MB/s
