metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.394, 10.540, 11.510, 9.907, 10.133", "s, s, s, s, s"
train metadata time, 53.484, s
train raw read time per epoch, "20.115, 16.422, 16.528, 12.591, 11.424", "s, s, s, s, s"
train total raw read time, 77.080, s
train raw read rate per epoch, "133.630, 163.681, 162.637, 213.482, 235.304", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 181.747, MB/s
train observed time per epoch, "88.440, 80.022, 80.500, 83.958, 167.560", "s, s, s, s, s"
train observed time, 500.479, s
train observed rate per epoch, "31.074, 34.424, 34.215, 32.772, 16.229", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 29.743, MB/s
train throughput samples per second per epoch, "0.475, 0.525, 0.522, 0.500, 0.251", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.454, samples/s
train throughput stdev samples per second, 0.103, samples/s
train io avg, 29.086, MB/s
train io stdev, 6.622, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.927, 1.866, 1.858, 2.633, 3.152", "s, s, s, s, s"
eval metadata time, 11.435, s
eval raw read time per epoch, "4.464, 5.808, 4.348, 3.203, 5.118", "s, s, s, s, s"
eval total raw read time, 22.940, s
eval raw read rate per epoch, "143.051, 109.672, 146.865, 199.317, 124.931", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 145.133, MB/s
eval observed time per epoch, "34.867, 28.539, 36.597, 31.306, 40.787", "s, s, s, s, s"
eval observed time, 172.096, s
eval observed rate per epoch, "19.246, 23.771, 18.294, 21.555, 16.338", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.841, MB/s
eval throughput samples per second per epoch, "0.287, 0.350, 0.273, 0.319, 0.245", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.295, samples/s
eval throughput stdev samples per second, 0.037, samples/s
eval io avg, 18.880, MB/s
eval io stdev, 2.341, MB/s
