metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.173, 11.051, 11.181, 11.165, 11.457", "s, s, s, s, s"
train metadata time, 55.027, s
train raw read time per epoch, "10.363, 11.387, 12.424, 12.600, 14.898", "s, s, s, s, s"
train total raw read time, 61.672, s
train raw read rate per epoch, "259.395, 236.051, 216.356, 213.329, 180.432", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 221.112, MB/s
train observed time per epoch, "180.914, 166.284, 159.494, 160.179, 167.632", "s, s, s, s, s"
train observed time, 834.503, s
train observed rate per epoch, "15.019, 16.355, 17.061, 16.986, 16.222", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 16.328, MB/s
train throughput samples per second per epoch, "0.232, 0.253, 0.263, 0.262, 0.251", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.252, samples/s
train throughput stdev samples per second, 0.011, samples/s
train io avg, 16.138, MB/s
train io stdev, 734.934, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.804, 2.515, 2.944, 2.843, 3.075", "s, s, s, s, s"
eval metadata time, 14.180, s
eval raw read time per epoch, "4.059, 3.655, 5.332, 4.238, 4.727", "s, s, s, s, s"
eval total raw read time, 22.010, s
eval raw read rate per epoch, "157.355, 174.521, 119.209, 150.680, 134.468", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 147.848, MB/s
eval observed time per epoch, "76.517, 75.959, 84.712, 80.818, 65.481", "s, s, s, s, s"
eval observed time, 383.487, s
eval observed rate per epoch, "8.544, 8.608, 7.701, 8.080, 10.021", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 8.591, MB/s
eval throughput samples per second per epoch, "0.131, 0.132, 0.118, 0.124, 0.153", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.131, samples/s
eval throughput stdev samples per second, 0.012, samples/s
eval io avg, 8.407, MB/s
eval io stdev, 771.006, KB/s
