metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.149, 9.660, 10.423, 10.521, 7.331", "s, s, s, s, s"
train metadata time, 48.083, s
train raw read time per epoch, "21.716, 20.788, 22.051, 23.002, 14.556", "s, s, s, s, s"
train total raw read time, 102.113, s
train raw read rate per epoch, "123.781, 129.307, 121.896, 116.857, 184.661", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 135.301, MB/s
train observed time per epoch, "58.743, 62.587, 66.359, 55.848, 61.487", "s, s, s, s, s"
train observed time, 305.024, s
train observed rate per epoch, "47.319, 44.320, 41.725, 49.860, 45.139", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 45.673, MB/s
train throughput samples per second per epoch, "0.715, 0.671, 0.633, 0.752, 0.683", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.691, samples/s
train throughput stdev samples per second, 0.040, samples/s
train io avg, 44.212, MB/s
train io stdev, 2.581, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.154, 2.350, 1.967, 2.232, 1.974", "s, s, s, s, s"
eval metadata time, 10.677, s
eval raw read time per epoch, "5.078, 6.458, 4.104, 4.858, 6.058", "s, s, s, s, s"
eval total raw read time, 26.556, s
eval raw read rate per epoch, "125.885, 98.228, 155.448, 131.606, 104.903", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 123.692, MB/s
eval observed time per epoch, "20.905, 34.439, 19.289, 30.051, 32.508", "s, s, s, s, s"
eval observed time, 137.192, s
eval observed rate per epoch, "33.178, 19.498, 36.210, 22.506, 20.716", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 26.422, MB/s
eval throughput samples per second per epoch, "0.478, 0.290, 0.518, 0.333, 0.308", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.386, samples/s
eval throughput stdev samples per second, 0.094, samples/s
eval io avg, 24.672, MB/s
eval io stdev, 6.016, MB/s
