metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.644, 13.732, 13.230, 13.024, 13.979", "s, s, s, s, s"
train metadata time, 65.609, s
train raw read time per epoch, "12.593, 16.005, 16.623, 19.986, 15.750", "s, s, s, s, s"
train total raw read time, 80.957, s
train raw read rate per epoch, "213.448, 167.948, 161.703, 134.494, 170.668", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 169.652, MB/s
train observed time per epoch, "187.766, 189.405, 190.956, 203.507, 139.846", "s, s, s, s, s"
train observed time, 911.479, s
train observed rate per epoch, "14.465, 14.338, 14.221, 13.335, 19.491", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 15.170, MB/s
train throughput samples per second per epoch, "0.224, 0.222, 0.220, 0.206, 0.300", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.234, samples/s
train throughput stdev samples per second, 0.034, samples/s
train io avg, 15.002, MB/s
train io stdev, 2.145, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "3.828, 4.799, 4.100, 3.643, 3.614", "s, s, s, s, s"
eval metadata time, 19.984, s
eval raw read time per epoch, "4.951, 3.968, 4.624, 3.687, 3.354", "s, s, s, s, s"
eval total raw read time, 20.586, s
eval raw read rate per epoch, "128.745, 161.171, 138.282, 172.614, 190.734", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 158.659, MB/s
eval observed time per epoch, "69.021, 81.641, 104.240, 61.060, 43.710", "s, s, s, s, s"
eval observed time, 359.672, s
eval observed rate per epoch, "9.494, 7.997, 6.235, 10.766, 15.203", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 9.939, MB/s
eval throughput samples per second per epoch, "0.145, 0.122, 0.096, 0.164, 0.229", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.151, samples/s
eval throughput stdev samples per second, 0.045, samples/s
eval io avg, 9.675, MB/s
eval io stdev, 2.875, MB/s
