metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "14.094, 13.108, 15.810, 12.274, 13.050", "s, s, s, s, s"
train metadata time, 68.336, s
train raw read time per epoch, "8.775, 10.824, 8.229, 11.358, 13.241", "s, s, s, s, s"
train total raw read time, 52.427, s
train raw read rate per epoch, "306.313, 248.326, 326.652, 236.665, 203.008", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 264.192, MB/s
train observed time per epoch, "59.149, 69.094, 79.460, 81.403, 93.938", "s, s, s, s, s"
train observed time, 383.044, s
train observed rate per epoch, "46.983, 40.025, 34.674, 33.825, 29.217", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 36.945, MB/s
train throughput samples per second per epoch, "0.710, 0.608, 0.529, 0.516, 0.447", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.562, samples/s
train throughput stdev samples per second, 0.090, samples/s
train io avg, 35.962, MB/s
train io stdev, 5.758, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.588, 3.449, 3.331, 2.702, 2.830", "s, s, s, s, s"
eval metadata time, 14.899, s
eval raw read time per epoch, "4.030, 4.382, 4.130, 4.443, 4.979", "s, s, s, s, s"
eval total raw read time, 21.964, s
eval raw read rate per epoch, "158.310, 145.912, 154.495, 144.004, 127.792", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 146.480, MB/s
eval observed time per epoch, "26.429, 20.719, 26.431, 41.701, 43.405", "s, s, s, s, s"
eval observed time, 158.686, s
eval observed rate per epoch, "25.792, 33.500, 25.789, 15.965, 15.314", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 23.271, MB/s
eval throughput samples per second per epoch, "0.378, 0.483, 0.378, 0.240, 0.230", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.342, samples/s
eval throughput stdev samples per second, 0.095, samples/s
eval io avg, 21.882, MB/s
eval io stdev, 6.093, MB/s
