metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "8.955, 11.534, 11.452, 11.803, 12.507", "s, s, s, s, s"
train metadata time, 56.252, s
train raw read time per epoch, "12.790, 19.219, 19.569, 15.359, 19.099", "s, s, s, s, s"
train total raw read time, 86.036, s
train raw read rate per epoch, "210.161, 139.861, 137.361, 175.016, 140.738", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 160.628, MB/s
train observed time per epoch, "83.599, 87.755, 150.075, 76.343, 70.598", "s, s, s, s, s"
train observed time, 468.369, s
train observed rate per epoch, "32.916, 31.322, 18.145, 36.126, 39.149", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 31.531, MB/s
train throughput samples per second per epoch, "0.502, 0.479, 0.280, 0.550, 0.595", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.481, samples/s
train throughput stdev samples per second, 0.108, samples/s
train io avg, 30.796, MB/s
train io stdev, 6.933, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.337, 2.360, 2.308, 2.114, 2.447", "s, s, s, s, s"
eval metadata time, 10.566, s
eval raw read time per epoch, "6.179, 5.094, 4.973, 4.991, 4.885", "s, s, s, s, s"
eval total raw read time, 26.123, s
eval raw read rate per epoch, "102.996, 124.931, 127.792, 127.792, 130.653", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 123.426, MB/s
eval observed time per epoch, "23.816, 23.939, 21.427, 24.480, 25.918", "s, s, s, s, s"
eval observed time, 119.579, s
eval observed rate per epoch, "28.827, 28.668, 32.304, 27.990, 26.334", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 28.825, MB/s
eval throughput samples per second per epoch, "0.420, 0.418, 0.467, 0.409, 0.386", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.420, samples/s
eval throughput stdev samples per second, 0.026, samples/s
eval io avg, 26.862, MB/s
eval io stdev, 1.689, MB/s
