metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.421, 13.546, 13.377, 11.885, 13.153", "s, s, s, s, s"
train metadata time, 62.382, s
train raw read time per epoch, "12.102, 17.166, 18.957, 15.318, 14.223", "s, s, s, s, s"
train total raw read time, 77.765, s
train raw read rate per epoch, "222.108, 156.589, 141.796, 175.482, 188.994", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 176.994, MB/s
train observed time per epoch, "111.022, 181.543, 181.524, 151.013, 192.545", "s, s, s, s, s"
train observed time, 817.647, s
train observed rate per epoch, "24.641, 14.966, 14.967, 18.030, 14.102", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 17.341, MB/s
train throughput samples per second per epoch, "0.378, 0.231, 0.231, 0.278, 0.218", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.267, samples/s
train throughput stdev samples per second, 0.059, samples/s
train io avg, 17.116, MB/s
train io stdev, 3.779, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.803, 2.588, 2.903, 2.768, 3.683", "s, s, s, s, s"
eval metadata time, 14.744, s
eval raw read time per epoch, "5.647, 4.800, 4.266, 4.333, 3.196", "s, s, s, s, s"
eval total raw read time, 22.241, s
eval raw read rate per epoch, "112.533, 132.561, 149.727, 146.865, 199.317", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 148.932, MB/s
eval observed time per epoch, "63.862, 66.534, 84.580, 90.313, 63.704", "s, s, s, s, s"
eval observed time, 368.993, s
eval observed rate per epoch, "10.281, 9.858, 7.714, 7.215, 10.308", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 9.075, MB/s
eval throughput samples per second per epoch, "0.157, 0.150, 0.118, 0.111, 0.157", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.139, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 8.867, MB/s
eval io stdev, 1.276, MB/s
