metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.424, 12.975, 11.359, 12.479, 11.203", "s, s, s, s, s"
train metadata time, 59.440, s
train raw read time per epoch, "15.301, 19.219, 22.224, 21.215, 16.816", "s, s, s, s, s"
train total raw read time, 94.776, s
train raw read rate per epoch, "175.672, 139.863, 120.947, 126.700, 159.850", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 144.606, MB/s
train observed time per epoch, "68.117, 191.211, 183.153, 157.103, 98.154", "s, s, s, s, s"
train observed time, 697.738, s
train observed rate per epoch, "40.617, 14.201, 14.833, 17.323, 27.937", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 22.982, MB/s
train throughput samples per second per epoch, "0.617, 0.220, 0.229, 0.267, 0.428", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.352, samples/s
train throughput stdev samples per second, 0.152, samples/s
train io avg, 22.538, MB/s
train io stdev, 9.727, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.520, 2.816, 2.899, 3.483, 2.475", "s, s, s, s, s"
eval metadata time, 14.193, s
eval raw read time per epoch, "3.760, 5.726, 5.117, 5.125, 4.725", "s, s, s, s, s"
eval total raw read time, 24.453, s
eval raw read rate per epoch, "169.754, 111.579, 124.931, 123.978, 135.421", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 133.474, MB/s
eval observed time per epoch, "41.410, 85.475, 81.104, 38.727, 42.990", "s, s, s, s, s"
eval observed time, 289.707, s
eval observed rate per epoch, "16.082, 7.631, 8.051, 17.244, 15.468", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.896, MB/s
eval throughput samples per second per epoch, "0.241, 0.117, 0.123, 0.258, 0.233", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.195, samples/s
eval throughput stdev samples per second, 0.061, samples/s
eval io avg, 12.449, MB/s
eval io stdev, 3.924, MB/s
