metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "24.845, 22.692, 24.788, 24.708, 23.593", "s, s, s, s, s"
train metadata time, 120.626, s
train raw read time per epoch, "12.999, 14.156, 12.154, 12.838, 13.015", "s, s, s, s, s"
train total raw read time, 65.162, s
train raw read rate per epoch, "206.786, 189.884, 221.156, 209.378, 206.538", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 206.749, MB/s
train observed time per epoch, "57.276, 57.490, 57.234, 57.307, 56.288", "s, s, s, s, s"
train observed time, 285.594, s
train observed rate per epoch, "48.574, 48.387, 48.611, 48.547, 49.457", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 48.715, MB/s
train throughput samples per second per epoch, "0.733, 0.731, 0.734, 0.733, 0.746", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.735, samples/s
train throughput stdev samples per second, 0.006, samples/s
train io avg, 47.062, MB/s
train io stdev, 361.746, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "5.477, 6.549, 6.295, 6.032, 6.729", "s, s, s, s, s"
eval metadata time, 31.083, s
eval raw read time per epoch, "4.452, 4.473, 4.334, 5.200, 4.322", "s, s, s, s, s"
eval total raw read time, 22.781, s
eval raw read rate per epoch, "143.051, 143.051, 146.865, 123.023, 147.819", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 141.135, MB/s
eval observed time per epoch, "18.546, 19.782, 20.694, 19.534, 19.575", "s, s, s, s, s"
eval observed time, 98.132, s
eval observed rate per epoch, "37.800, 35.229, 33.544, 35.715, 35.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 35.584, MB/s
eval throughput samples per second per epoch, "0.539, 0.506, 0.483, 0.512, 0.511", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.510, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 32.648, MB/s
eval io stdev, 1.142, MB/s
