metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "22.500, 24.320, 23.286, 22.241, 24.291", "s, s, s, s, s"
train metadata time, 116.638, s
train raw read time per epoch, "10.624, 8.294, 8.594, 12.718, 13.525", "s, s, s, s, s"
train total raw read time, 53.755, s
train raw read rate per epoch, "253.021, 324.087, 312.768, 211.358, 198.740", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 259.995, MB/s
train observed time per epoch, "55.709, 64.258, 56.774, 58.246, 64.025", "s, s, s, s, s"
train observed time, 299.011, s
train observed rate per epoch, "49.989, 43.132, 49.019, 47.737, 43.294", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 46.634, MB/s
train throughput samples per second per epoch, "0.754, 0.654, 0.740, 0.721, 0.656", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.705, samples/s
train throughput stdev samples per second, 0.042, samples/s
train io avg, 45.111, MB/s
train io stdev, 2.700, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "5.900, 6.741, 5.077, 6.350, 6.133", "s, s, s, s, s"
eval metadata time, 30.201, s
eval raw read time per epoch, "3.646, 3.240, 4.514, 6.100, 3.924", "s, s, s, s, s"
eval total raw read time, 21.424, s
eval raw read rate per epoch, "175.476, 197.410, 141.144, 104.903, 163.078", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 156.573, MB/s
eval observed time per epoch, "21.313, 49.155, 23.131, 33.402, 43.170", "s, s, s, s, s"
eval observed time, 170.170, s
eval observed rate per epoch, "32.490, 13.462, 29.745, 20.134, 15.401", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 22.246, MB/s
eval throughput samples per second per epoch, "0.469, 0.203, 0.432, 0.299, 0.232", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.327, samples/s
eval throughput stdev samples per second, 0.106, samples/s
eval io avg, 20.940, MB/s
eval io stdev, 6.799, MB/s
