metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.384, 10.526, 9.884, 10.512, 9.776", "s, s, s, s, s"
train metadata time, 52.081, s
train raw read time per epoch, "14.189, 12.306, 12.688, 13.872, 11.432", "s, s, s, s, s"
train total raw read time, 64.487, s
train raw read rate per epoch, "189.448, 218.428, 211.850, 193.768, 235.125", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 209.724, MB/s
train observed time per epoch, "58.918, 64.475, 65.022, 58.567, 75.301", "s, s, s, s, s"
train observed time, 322.283, s
train observed rate per epoch, "47.174, 42.981, 42.609, 47.467, 36.640", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 43.374, MB/s
train throughput samples per second per epoch, "0.713, 0.651, 0.646, 0.717, 0.558", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.657, samples/s
train throughput stdev samples per second, 0.058, samples/s
train io avg, 42.049, MB/s
train io stdev, 3.702, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.085, 2.189, 2.428, 1.774, 1.957", "s, s, s, s, s"
eval metadata time, 10.433, s
eval raw read time per epoch, "5.159, 3.914, 3.523, 4.179, 4.209", "s, s, s, s, s"
eval total raw read time, 20.984, s
eval raw read rate per epoch, "123.978, 163.078, 181.197, 152.588, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 154.890, MB/s
eval observed time per epoch, "23.557, 27.907, 32.190, 18.653, 18.512", "s, s, s, s, s"
eval observed time, 120.818, s
eval observed rate per epoch, "29.168, 24.342, 20.932, 37.562, 37.876", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 29.977, MB/s
eval throughput samples per second per epoch, "0.425, 0.358, 0.311, 0.536, 0.540", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.434, samples/s
eval throughput stdev samples per second, 0.092, samples/s
eval io avg, 27.773, MB/s
eval io stdev, 5.916, MB/s
