metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "11.500, 9.654, 9.390, 9.705, 10.295", "s, s, s, s, s"
train metadata time, 50.544, s
train raw read time per epoch, "12.216, 12.761, 14.460, 14.427, 13.897", "s, s, s, s, s"
train total raw read time, 67.762, s
train raw read rate per epoch, "183.361, 175.531, 154.911, 155.261, 161.183", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 166.050, MB/s
train observed time per epoch, "49.218, 46.887, 48.856, 45.520, 49.213", "s, s, s, s, s"
train observed time, 239.693, s
train observed rate per epoch, "47.056, 49.479, 47.416, 51.019, 47.061", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 48.406, MB/s
train throughput samples per second per epoch, "0.711, 0.746, 0.716, 0.769, 0.711", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.731, samples/s
train throughput stdev samples per second, 0.023, samples/s
train io avg, 46.771, MB/s
train io stdev, 1.480, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.938, 1.915, 1.732, 1.894, 2.076", "s, s, s, s, s"
eval metadata time, 9.555, s
eval raw read time per epoch, "2.753, 2.649, 4.404, 3.068, 3.918", "s, s, s, s, s"
eval total raw read time, 16.792, s
eval raw read rate per epoch, "185.966, 192.642, 115.395, 165.938, 130.653", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 158.610, MB/s
eval observed time per epoch, "15.137, 14.723, 16.028, 14.593, 16.526", "s, s, s, s, s"
eval observed time, 77.006, s
eval observed rate per epoch, "36.981, 38.120, 34.745, 38.493, 33.608", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 36.390, MB/s
eval throughput samples per second per epoch, "0.529, 0.543, 0.499, 0.548, 0.484", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.521, samples/s
eval throughput stdev samples per second, 0.025, samples/s
eval io avg, 33.322, MB/s
eval io stdev, 1.603, MB/s
