metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "8.050, 8.259, 10.426, 9.235, 10.586", "s, s, s, s, s"
train metadata time, 46.556, s
train raw read time per epoch, "8.793, 13.397, 13.585, 12.233, 13.863", "s, s, s, s, s"
train total raw read time, 61.872, s
train raw read rate per epoch, "254.747, 167.207, 164.883, 183.104, 161.575", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 186.304, MB/s
train observed time per epoch, "52.426, 46.109, 46.955, 49.086, 48.117", "s, s, s, s, s"
train observed time, 242.692, s
train observed rate per epoch, "44.085, 50.344, 49.404, 47.187, 48.169", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.838, MB/s
train throughput samples per second per epoch, "0.668, 0.759, 0.745, 0.713, 0.727", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.723, samples/s
train throughput stdev samples per second, 0.032, samples/s
train io avg, 46.239, MB/s
train io stdev, 2.021, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.175, 1.965, 2.031, 1.952, 1.761", "s, s, s, s, s"
eval metadata time, 9.884, s
eval raw read time per epoch, "4.715, 3.180, 3.465, 3.398, 4.391", "s, s, s, s, s"
eval total raw read time, 19.148, s
eval raw read rate per epoch, "107.765, 160.217, 146.865, 149.727, 116.348", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 136.933, MB/s
eval observed time per epoch, "15.622, 15.627, 14.974, 15.726, 16.394", "s, s, s, s, s"
eval observed time, 78.342, s
eval observed rate per epoch, "35.729, 35.717, 37.422, 35.472, 33.902", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 35.648, MB/s
eval throughput samples per second per epoch, "0.512, 0.512, 0.534, 0.509, 0.488", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.511, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 32.704, MB/s
eval io stdev, 962.651, KB/s
