metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "10.111, 10.230, 9.251, 10.700, 10.561", "s, s, s, s, s"
train metadata time, 50.854, s
train raw read time per epoch, "12.467, 12.471, 11.908, 14.044, 14.325", "s, s, s, s, s"
train total raw read time, 65.216, s
train raw read rate per epoch, "179.677, 179.615, 188.103, 159.495, 156.367", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 172.651, MB/s
train observed time per epoch, "50.879, 68.704, 60.549, 66.458, 68.358", "s, s, s, s, s"
train observed time, 314.948, s
train observed rate per epoch, "45.469, 33.388, 38.008, 34.545, 33.561", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 36.994, MB/s
train throughput samples per second per epoch, "0.688, 0.509, 0.578, 0.527, 0.512", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.563, samples/s
train throughput stdev samples per second, 0.067, samples/s
train io avg, 36.020, MB/s
train io stdev, 4.304, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "3.000, 1.944, 2.038, 3.235, 3.163", "s, s, s, s, s"
eval metadata time, 13.380, s
eval raw read time per epoch, "3.334, 3.886, 3.936, 2.824, 2.309", "s, s, s, s, s"
eval total raw read time, 16.290, s
eval raw read rate per epoch, "153.541, 131.606, 129.699, 181.197, 221.252", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 163.682, MB/s
eval observed time per epoch, "15.759, 38.453, 41.898, 29.219, 28.675", "s, s, s, s, s"
eval observed time, 154.004, s
eval observed rate per epoch, "35.390, 13.777, 12.608, 18.333, 18.697", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.761, MB/s
eval throughput samples per second per epoch, "0.508, 0.208, 0.191, 0.274, 0.279", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.292, samples/s
eval throughput stdev samples per second, 0.113, samples/s
eval io avg, 18.680, MB/s
eval io stdev, 7.255, MB/s
