metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "12.448, 10.005, 10.216, 10.454, 8.627", "s, s, s, s, s"
train metadata time, 51.748, s
train raw read time per epoch, "12.962, 12.456, 12.745, 10.956, 11.034", "s, s, s, s, s"
train total raw read time, 60.153, s
train raw read rate per epoch, "172.817, 179.826, 175.753, 204.444, 203.016", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 187.171, MB/s
train observed time per epoch, "43.781, 57.105, 64.078, 59.326, 66.562", "s, s, s, s, s"
train observed time, 290.852, s
train observed rate per epoch, "53.123, 40.367, 35.861, 38.813, 34.489", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 40.530, MB/s
train throughput samples per second per epoch, "0.799, 0.613, 0.546, 0.590, 0.526", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.615, samples/s
train throughput stdev samples per second, 0.097, samples/s
train io avg, 39.351, MB/s
train io stdev, 6.227, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.032, 2.040, 2.121, 2.263, 2.292", "s, s, s, s, s"
eval metadata time, 10.748, s
eval raw read time per epoch, "4.240, 2.926, 2.871, 3.336, 2.587", "s, s, s, s, s"
eval total raw read time, 15.960, s
eval raw read rate per epoch, "120.162, 174.521, 177.383, 152.588, 197.410", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 165.089, MB/s
eval observed time per epoch, "15.633, 14.650, 29.224, 23.885, 29.608", "s, s, s, s, s"
eval observed time, 112.999, s
eval observed rate per epoch, "35.702, 38.329, 18.330, 22.661, 18.081", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 26.621, MB/s
eval throughput samples per second per epoch, "0.512, 0.546, 0.274, 0.335, 0.270", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.387, samples/s
eval throughput stdev samples per second, 0.118, samples/s
eval io avg, 24.789, MB/s
eval io stdev, 7.575, MB/s
