metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "8.674, 9.185, 8.486, 9.167, 8.180", "s, s, s, s, s"
train metadata time, 43.692, s
train raw read time per epoch, "10.633, 10.759, 11.131, 11.320, 11.722", "s, s, s, s, s"
train total raw read time, 55.565, s
train raw read rate per epoch, "210.661, 208.194, 201.238, 197.886, 191.097", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 201.815, MB/s
train observed time per epoch, "73.483, 80.921, 81.139, 80.179, 101.927", "s, s, s, s, s"
train observed time, 417.649, s
train observed rate per epoch, "31.168, 28.244, 28.167, 28.512, 22.330", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.685, MB/s
train throughput samples per second per epoch, "0.476, 0.433, 0.431, 0.437, 0.343", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.424, samples/s
train throughput stdev samples per second, 0.044, samples/s
train io avg, 27.137, MB/s
train io stdev, 2.792, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.200, 2.441, 1.769, 1.942, 2.648", "s, s, s, s, s"
eval metadata time, 11.000, s
eval raw read time per epoch, "3.172, 3.038, 3.444, 3.194, 2.487", "s, s, s, s, s"
eval total raw read time, 15.334, s
eval raw read rate per epoch, "161.171, 167.847, 147.819, 160.217, 205.039", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 168.969, MB/s
eval observed time per epoch, "25.354, 30.437, 32.911, 25.821, 26.579", "s, s, s, s, s"
eval observed time, 141.101, s
eval observed rate per epoch, "21.278, 17.567, 16.192, 20.873, 20.247", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.231, MB/s
eval throughput samples per second per epoch, "0.316, 0.263, 0.243, 0.310, 0.301", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.286, samples/s
eval throughput stdev samples per second, 0.028, samples/s
eval io avg, 18.333, MB/s
eval io stdev, 1.819, MB/s
