metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "8.981, 7.998, 7.540, 7.899, 6.984", "s, s, s, s, s"
train metadata time, 39.402, s
train raw read time per epoch, "10.050, 8.701, 10.139, 10.891, 10.400", "s, s, s, s, s"
train total raw read time, 50.182, s
train raw read rate per epoch, "222.882, 257.444, 220.919, 205.678, 215.374", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 224.459, MB/s
train observed time per epoch, "40.007, 39.143, 40.613, 39.130, 41.188", "s, s, s, s, s"
train observed time, 200.082, s
train observed rate per epoch, "58.345, 59.688, 57.438, 59.709, 56.604", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 58.356, MB/s
train throughput samples per second per epoch, "0.875, 0.894, 0.862, 0.894, 0.850", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.875, samples/s
train throughput stdev samples per second, 0.018, samples/s
train io avg, 55.999, MB/s
train io stdev, 1.129, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.832, 2.522, 1.851, 1.805, 1.676", "s, s, s, s, s"
eval metadata time, 9.686, s
eval raw read time per epoch, "2.568, 1.694, 2.173, 2.667, 2.374", "s, s, s, s, s"
eval total raw read time, 11.476, s
eval raw read rate per epoch, "199.317, 301.360, 235.557, 191.688, 215.530", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 228.988, MB/s
eval observed time per epoch, "13.061, 13.067, 11.949, 12.796, 11.788", "s, s, s, s, s"
eval observed time, 62.660, s
eval observed rate per epoch, "43.505, 43.483, 48.045, 44.505, 48.781", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.664, MB/s
eval throughput samples per second per epoch, "0.613, 0.612, 0.670, 0.625, 0.679", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.640, samples/s
eval throughput stdev samples per second, 0.029, samples/s
eval io avg, 40.937, MB/s
eval io stdev, 1.835, MB/s
