metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "13.734, 13.350, 17.000, 11.520, 11.553", "s, s, s, s, s"
train metadata time, 67.157, s
train raw read time per epoch, "9.705, 7.978, 12.236, 11.065, 10.479", "s, s, s, s, s"
train total raw read time, 51.462, s
train raw read rate per epoch, "230.812, 280.764, 183.068, 202.448, 213.760", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 222.171, MB/s
train observed time per epoch, "50.394, 64.372, 83.588, 68.287, 70.214", "s, s, s, s, s"
train observed time, 336.853, s
train observed rate per epoch, "45.921, 35.693, 27.326, 33.597, 32.653", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 35.038, MB/s
train throughput samples per second per epoch, "0.695, 0.544, 0.419, 0.513, 0.498", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.534, samples/s
train throughput stdev samples per second, 0.090, samples/s
train io avg, 34.149, MB/s
train io stdev, 5.786, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.663, 2.683, 3.016, 2.839, 3.310", "s, s, s, s, s"
eval metadata time, 14.512, s
eval raw read time per epoch, "3.290, 4.082, 3.748, 3.700, 3.176", "s, s, s, s, s"
eval total raw read time, 17.995, s
eval raw read rate per epoch, "155.448, 124.931, 136.375, 138.282, 161.171", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 143.453, MB/s
eval observed time per epoch, "25.585, 15.247, 29.238, 28.340, 42.772", "s, s, s, s, s"
eval observed time, 141.180, s
eval observed rate per epoch, "21.076, 36.689, 18.321, 18.929, 12.343", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 21.472, MB/s
eval throughput samples per second per epoch, "0.313, 0.525, 0.274, 0.282, 0.187", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.316, samples/s
eval throughput stdev samples per second, 0.112, samples/s
eval io avg, 20.228, MB/s
eval io stdev, 7.190, MB/s
