metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "7.154, 7.291, 7.448, 5.717, 7.426", "s, s, s, s, s"
train metadata time, 35.037, s
train raw read time per epoch, "10.354, 9.783, 10.821, 11.369, 10.654", "s, s, s, s, s"
train total raw read time, 52.981, s
train raw read rate per epoch, "216.332, 228.976, 207.003, 197.034, 210.248", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 211.919, MB/s
train observed time per epoch, "40.715, 40.022, 39.443, 39.320, 40.187", "s, s, s, s, s"
train observed time, 199.687, s
train observed rate per epoch, "57.289, 58.322, 59.215, 59.408, 58.072", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 58.461, MB/s
train throughput samples per second per epoch, "0.860, 0.875, 0.887, 0.890, 0.871", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.877, samples/s
train throughput stdev samples per second, 0.011, samples/s
train io avg, 56.097, MB/s
train io stdev, 731.683, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.354, 1.137, 1.262, 1.301, 1.426", "s, s, s, s, s"
eval metadata time, 6.480, s
eval raw read time per epoch, "2.482, 2.508, 4.148, 2.602, 3.110", "s, s, s, s, s"
eval total raw read time, 14.849, s
eval raw read rate per epoch, "205.993, 204.086, 123.023, 196.456, 164.031", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 179.060, MB/s
eval observed time per epoch, "11.842, 12.117, 13.679, 12.007, 12.087", "s, s, s, s, s"
eval observed time, 61.732, s
eval observed rate per epoch, "48.530, 47.298, 41.333, 47.783, 47.429", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.475, MB/s
eval throughput samples per second per epoch, "0.676, 0.660, 0.585, 0.666, 0.662", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.650, samples/s
eval throughput stdev samples per second, 0.033, samples/s
eval io avg, 41.584, MB/s
eval io stdev, 2.104, MB/s
