metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "9.042, 14.078, 8.956, 9.285, 9.000", "s, s, s, s, s"
train metadata time, 50.361, s
train raw read time per epoch, "8.715, 22.980, 8.329, 7.630, 8.367", "s, s, s, s, s"
train total raw read time, 56.020, s
train raw read rate per epoch, "257.041, 97.478, 268.932, 293.578, 267.727", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 236.951, MB/s
train observed time per epoch, "109.879, 89.955, 93.894, 87.414, 101.718", "s, s, s, s, s"
train observed time, 482.860, s
train observed rate per epoch, "20.689, 25.356, 24.273, 26.107, 22.376", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 23.761, MB/s
train throughput samples per second per epoch, "0.319, 0.389, 0.373, 0.400, 0.344", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.365, samples/s
train throughput stdev samples per second, 0.030, samples/s
train io avg, 23.357, MB/s
train io stdev, 1.917, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.153, 2.266, 2.431, 2.962, 2.837", "s, s, s, s, s"
eval metadata time, 12.649, s
eval raw read time per epoch, "2.320, 3.566, 2.704, 2.505, 2.793", "s, s, s, s, s"
eval total raw read time, 13.889, s
eval raw read rate per epoch, "220.298, 143.051, 188.827, 204.086, 183.105", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 188.252, MB/s
eval observed time per epoch, "62.862, 59.875, 44.566, 56.145, 69.115", "s, s, s, s, s"
eval observed time, 292.562, s
eval observed rate per epoch, "8.315, 8.739, 11.831, 9.334, 7.549", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 9.153, MB/s
eval throughput samples per second per epoch, "0.127, 0.134, 0.180, 0.142, 0.116", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.140, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 8.941, MB/s
eval io stdev, 1.390, MB/s
