metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "9.812, 9.636, 9.608, 9.945, 9.700", "s, s, s, s, s"
train metadata time, 48.701, s
train raw read time per epoch, "11.677, 13.584, 13.307, 11.127, 15.410", "s, s, s, s, s"
train total raw read time, 65.105, s
train raw read rate per epoch, "191.826, 164.901, 168.338, 201.306, 145.355", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 174.345, MB/s
train observed time per epoch, "61.994, 61.112, 63.414, 66.583, 67.857", "s, s, s, s, s"
train observed time, 320.959, s
train observed rate per epoch, "37.099, 37.648, 36.246, 34.479, 33.814", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 35.857, MB/s
train throughput samples per second per epoch, "0.565, 0.573, 0.552, 0.526, 0.516", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.546, samples/s
train throughput stdev samples per second, 0.022, samples/s
train io avg, 34.952, MB/s
train io stdev, 1.407, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.381, 2.676, 2.566, 1.684, 2.866", "s, s, s, s, s"
eval metadata time, 12.172, s
eval raw read time per epoch, "3.269, 2.928, 2.486, 4.217, 3.234", "s, s, s, s, s"
eval total raw read time, 16.134, s
eval raw read rate per epoch, "156.402, 174.521, 205.039, 121.116, 158.310", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 163.430, MB/s
eval observed time per epoch, "32.078, 26.985, 38.789, 29.765, 34.196", "s, s, s, s, s"
eval observed time, 161.812, s
eval observed rate per epoch, "16.631, 19.928, 13.653, 17.981, 15.560", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.751, MB/s
eval throughput samples per second per epoch, "0.249, 0.296, 0.206, 0.269, 0.234", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.251, samples/s
eval throughput stdev samples per second, 0.031, samples/s
eval io avg, 16.062, MB/s
eval io stdev, 1.957, MB/s
