metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "7.806, 14.761, 8.393, 7.639, 8.029", "s, s, s, s, s"
train metadata time, 46.627, s
train raw read time per epoch, "8.967, 14.784, 8.758, 9.871, 9.329", "s, s, s, s, s"
train total raw read time, 51.709, s
train raw read rate per epoch, "249.809, 151.518, 255.764, 226.934, 240.105", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 224.826, MB/s
train observed time per epoch, "52.967, 72.974, 79.601, 101.610, 83.138", "s, s, s, s, s"
train observed time, 390.289, s
train observed rate per epoch, "43.620, 31.391, 28.723, 22.400, 27.477", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 30.722, MB/s
train throughput samples per second per epoch, "0.661, 0.480, 0.440, 0.344, 0.421", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.469, samples/s
train throughput stdev samples per second, 0.105, samples/s
train io avg, 30.022, MB/s
train io stdev, 6.747, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.914, 1.675, 1.637, 1.674, 3.284", "s, s, s, s, s"
eval metadata time, 10.185, s
eval raw read time per epoch, "2.828, 3.169, 3.480, 3.049, 14.886", "s, s, s, s, s"
eval total raw read time, 27.412, s
eval raw read rate per epoch, "180.244, 161.171, 146.865, 167.847, 34.332", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 138.411, MB/s
eval observed time per epoch, "27.024, 48.681, 67.652, 45.809, 69.631", "s, s, s, s, s"
eval observed time, 258.797, s
eval observed rate per epoch, "19.896, 10.804, 7.715, 11.501, 7.491", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 11.481, MB/s
eval throughput samples per second per epoch, "0.296, 0.164, 0.118, 0.175, 0.115", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.174, samples/s
eval throughput stdev samples per second, 0.066, samples/s
eval io avg, 11.112, MB/s
eval io stdev, 4.205, MB/s
