metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "11.513, 9.459, 9.554, 10.150, 9.848", "s, s, s, s, s"
train metadata time, 50.523, s
train raw read time per epoch, "12.121, 12.853, 11.400, 12.942, 10.194", "s, s, s, s, s"
train total raw read time, 59.511, s
train raw read rate per epoch, "184.800, 174.274, 196.487, 173.082, 219.726", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 189.674, MB/s
train observed time per epoch, "48.249, 85.264, 84.771, 69.758, 86.778", "s, s, s, s, s"
train observed time, 374.820, s
train observed rate per epoch, "48.033, 26.778, 26.937, 32.872, 26.302", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 32.185, MB/s
train throughput samples per second per epoch, "0.725, 0.410, 0.413, 0.502, 0.403", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.491, samples/s
train throughput stdev samples per second, 0.123, samples/s
train io avg, 31.408, MB/s
train io stdev, 7.855, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.113, 2.717, 2.320, 2.048, 2.282", "s, s, s, s, s"
eval metadata time, 11.480, s
eval raw read time per epoch, "2.596, 3.999, 3.084, 3.382, 2.729", "s, s, s, s, s"
eval total raw read time, 15.789, s
eval raw read rate per epoch, "196.456, 127.792, 165.938, 150.680, 186.920", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 166.065, MB/s
eval observed time per epoch, "14.840, 54.332, 42.916, 45.002, 29.422", "s, s, s, s, s"
eval observed time, 186.512, s
eval observed rate per epoch, "37.792, 9.652, 12.300, 11.713, 18.201", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 17.932, MB/s
eval throughput samples per second per epoch, "0.539, 0.147, 0.186, 0.178, 0.272", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.264, samples/s
eval throughput stdev samples per second, 0.143, samples/s
eval io avg, 16.927, MB/s
eval io stdev, 9.178, MB/s
