metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "15.280, 13.429, 18.020, 14.843, 14.643", "s, s, s, s, s"
train metadata time, 76.215, s
train raw read time per epoch, "18.215, 19.394, 20.104, 20.014, 16.827", "s, s, s, s, s"
train total raw read time, 94.554, s
train raw read rate per epoch, "122.975, 115.499, 111.422, 111.921, 133.115", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 118.986, MB/s
train observed time per epoch, "70.583, 58.541, 60.572, 63.262, 61.446", "s, s, s, s, s"
train observed time, 314.404, s
train observed rate per epoch, "32.479, 39.349, 37.993, 36.335, 37.438", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 36.719, MB/s
train throughput samples per second per epoch, "0.496, 0.598, 0.578, 0.553, 0.570", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.559, samples/s
train throughput stdev samples per second, 0.035, samples/s
train io avg, 35.769, MB/s
train io stdev, 2.216, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.722, 3.211, 3.391, 3.559, 2.780", "s, s, s, s, s"
eval metadata time, 15.663, s
eval raw read time per epoch, "4.161, 3.175, 3.877, 3.427, 3.613", "s, s, s, s, s"
eval total raw read time, 18.253, s
eval raw read rate per epoch, "123.023, 161.171, 131.606, 148.772, 141.144", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 141.499, MB/s
eval observed time per epoch, "27.362, 15.282, 14.479, 29.648, 15.243", "s, s, s, s, s"
eval observed time, 102.014, s
eval observed rate per epoch, "19.639, 36.596, 38.826, 18.056, 36.700", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 29.964, MB/s
eval throughput samples per second per epoch, "0.292, 0.523, 0.553, 0.270, 0.525", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.433, samples/s
eval throughput stdev samples per second, 0.124, samples/s
eval io avg, 27.687, MB/s
eval io stdev, 7.958, MB/s
