metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "6.413, 5.723, 5.818, 5.899, 5.866", "s, s, s, s, s"
train metadata time, 29.720, s
train raw read time per epoch, "7.514, 8.237, 7.299, 7.809, 7.588", "s, s, s, s, s"
train total raw read time, 38.447, s
train raw read rate per epoch, "238.494, 217.563, 245.497, 229.481, 236.146", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 233.437, MB/s
train observed time per epoch, "40.417, 62.189, 32.298, 31.537, 34.576", "s, s, s, s, s"
train observed time, 201.017, s
train observed rate per epoch, "45.801, 29.427, 57.794, 59.249, 53.840", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 49.223, MB/s
train throughput samples per second per epoch, "0.693, 0.450, 0.867, 0.888, 0.810", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.742, samples/s
train throughput stdev samples per second, 0.161, samples/s
train io avg, 47.457, MB/s
train io stdev, 10.280, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.938, 1.883, 1.577, 2.467, 1.660", "s, s, s, s, s"
eval metadata time, 9.525, s
eval raw read time per epoch, "2.677, 2.272, 3.095, 3.075, 2.172", "s, s, s, s, s"
eval total raw read time, 13.291, s
eval raw read rate per epoch, "190.734, 225.066, 164.985, 165.938, 235.557", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 196.850, MB/s
eval observed time per epoch, "12.547, 12.087, 13.933, 13.585, 11.971", "s, s, s, s, s"
eval observed time, 64.123, s
eval observed rate per epoch, "45.491, 47.427, 40.503, 41.649, 47.943", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 44.603, MB/s
eval throughput samples per second per epoch, "0.638, 0.662, 0.574, 0.589, 0.668", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.626, samples/s
eval throughput stdev samples per second, 0.038, samples/s
eval io avg, 40.074, MB/s
eval io stdev, 2.439, MB/s
