metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "9.347, 9.625, 8.560, 8.418, 9.609", "s, s, s, s, s"
train metadata time, 45.559, s
train raw read time per epoch, "16.854, 16.035, 16.396, 16.729, 18.612", "s, s, s, s, s"
train total raw read time, 84.626, s
train raw read rate per epoch, "106.323, 111.756, 109.291, 107.120, 96.283", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 106.154, MB/s
train observed time per epoch, "36.304, 41.100, 40.707, 36.461, 37.145", "s, s, s, s, s"
train observed time, 191.716, s
train observed rate per epoch, "51.183, 45.016, 45.465, 50.954, 49.981", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 48.520, MB/s
train throughput samples per second per epoch, "0.771, 0.681, 0.688, 0.768, 0.754", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.732, samples/s
train throughput stdev samples per second, 0.040, samples/s
train io avg, 46.875, MB/s
train io stdev, 2.532, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.608, 2.913, 1.805, 3.441, 2.287", "s, s, s, s, s"
eval metadata time, 13.055, s
eval raw read time per epoch, "5.157, 6.690, 4.134, 5.408, 5.224", "s, s, s, s, s"
eval total raw read time, 26.613, s
eval raw read rate per epoch, "99.182, 76.294, 123.023, 94.413, 97.274", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 98.471, MB/s
eval observed time per epoch, "14.269, 15.446, 15.116, 16.405, 14.657", "s, s, s, s, s"
eval observed time, 75.893, s
eval observed rate per epoch, "39.454, 36.173, 37.035, 33.878, 38.309", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 36.970, MB/s
eval throughput samples per second per epoch, "0.561, 0.518, 0.529, 0.488, 0.546", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.528, samples/s
eval throughput stdev samples per second, 0.025, samples/s
eval io avg, 33.809, MB/s
eval io stdev, 1.597, MB/s
