metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "7.781, 7.735, 7.376, 6.545, 6.487", "s, s, s, s, s"
train metadata time, 35.925, s
train raw read time per epoch, "7.592, 6.594, 7.476, 8.686, 7.546", "s, s, s, s, s"
train total raw read time, 37.894, s
train raw read rate per epoch, "236.037, 271.757, 239.713, 206.301, 237.464", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 238.255, MB/s
train observed time per epoch, "44.732, 56.616, 59.326, 74.395, 56.555", "s, s, s, s, s"
train observed time, 291.624, s
train observed rate per epoch, "41.252, 32.391, 30.878, 24.513, 32.426", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 32.292, MB/s
train throughput samples per second per epoch, "0.626, 0.495, 0.472, 0.376, 0.495", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.493, samples/s
train throughput stdev samples per second, 0.080, samples/s
train io avg, 31.538, MB/s
train io stdev, 5.098, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.649, 2.600, 2.149, 2.444, 2.253", "s, s, s, s, s"
eval metadata time, 12.095, s
eval raw read time per epoch, "3.870, 1.831, 2.955, 3.255, 2.475", "s, s, s, s, s"
eval total raw read time, 14.387, s
eval raw read rate per epoch, "131.606, 279.426, 172.614, 156.402, 205.993", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 189.866, MB/s
eval observed time per epoch, "15.544, 22.209, 37.206, 44.860, 41.152", "s, s, s, s, s"
eval observed time, 160.971, s
eval observed rate per epoch, "35.923, 24.478, 14.256, 11.751, 12.845", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.851, MB/s
eval throughput samples per second per epoch, "0.515, 0.360, 0.215, 0.178, 0.194", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.293, samples/s
eval throughput stdev samples per second, 0.129, samples/s
eval io avg, 18.721, MB/s
eval io stdev, 8.226, MB/s
