metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "7.576, 6.387, 6.139, 5.678, 6.172", "s, s, s, s, s"
train metadata time, 31.951, s
train raw read time per epoch, "6.714, 7.752, 8.054, 8.436, 7.608", "s, s, s, s, s"
train total raw read time, 38.563, s
train raw read rate per epoch, "266.902, 231.172, 222.501, 212.428, 235.542", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 233.709, MB/s
train observed time per epoch, "36.940, 42.469, 39.981, 38.871, 39.551", "s, s, s, s, s"
train observed time, 197.811, s
train observed rate per epoch, "50.269, 43.520, 46.317, 47.686, 46.838", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 46.926, MB/s
train throughput samples per second per epoch, "0.758, 0.659, 0.700, 0.720, 0.708", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.709, samples/s
train throughput stdev samples per second, 0.032, samples/s
train io avg, 45.387, MB/s
train io stdev, 2.038, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.177, 1.581, 2.007, 2.226, 2.149", "s, s, s, s, s"
eval metadata time, 10.139, s
eval raw read time per epoch, "2.132, 2.339, 2.458, 2.998, 3.418", "s, s, s, s, s"
eval total raw read time, 13.345, s
eval raw read rate per epoch, "239.372, 218.391, 207.900, 170.707, 149.727", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 197.584, MB/s
eval observed time per epoch, "14.141, 14.920, 13.354, 14.434, 14.462", "s, s, s, s, s"
eval observed time, 71.309, s
eval observed rate per epoch, "39.848, 37.570, 42.448, 38.959, 38.877", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 39.540, MB/s
eval throughput samples per second per epoch, "0.566, 0.536, 0.599, 0.554, 0.553", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.562, samples/s
eval throughput stdev samples per second, 0.021, samples/s
eval io avg, 35.948, MB/s
eval io stdev, 1.340, MB/s
