metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "7.381, 7.336, 7.381, 7.076, 6.395", "s, s, s, s, s"
train metadata time, 35.569, s
train raw read time per epoch, "7.472, 9.024, 8.600, 8.544, 7.918", "s, s, s, s, s"
train total raw read time, 41.558, s
train raw read rate per epoch, "239.835, 198.590, 208.364, 209.750, 226.307", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 216.569, MB/s
train observed time per epoch, "58.792, 71.363, 79.342, 80.352, 89.028", "s, s, s, s, s"
train observed time, 378.878, s
train observed rate per epoch, "31.164, 25.573, 22.959, 22.666, 20.425", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 24.558, MB/s
train throughput samples per second per epoch, "0.476, 0.392, 0.353, 0.348, 0.315", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.377, samples/s
train throughput stdev samples per second, 0.055, samples/s
train io avg, 24.121, MB/s
train io stdev, 3.550, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.820, 1.884, 1.302, 1.610, 2.207", "s, s, s, s, s"
eval metadata time, 8.823, s
eval raw read time per epoch, "2.941, 2.958, 3.713, 3.586, 3.339", "s, s, s, s, s"
eval total raw read time, 16.537, s
eval raw read rate per epoch, "173.568, 172.614, 137.329, 142.097, 152.588", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 156.234, MB/s
eval observed time per epoch, "33.087, 45.746, 33.829, 66.940, 48.218", "s, s, s, s, s"
eval observed time, 227.820, s
eval observed rate per epoch, "16.103, 11.517, 15.735, 7.799, 10.910", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.413, MB/s
eval throughput samples per second per epoch, "0.242, 0.175, 0.236, 0.120, 0.166", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.188, samples/s
eval throughput stdev samples per second, 0.046, samples/s
eval io avg, 12.014, MB/s
eval io stdev, 2.945, MB/s
