metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "7.217, 9.813, 8.842, 8.433, 8.884", "s, s, s, s, s"
train metadata time, 43.189, s
train raw read time per epoch, "7.605, 8.956, 10.100, 7.340, 7.208", "s, s, s, s, s"
train total raw read time, 41.208, s
train raw read rate per epoch, "235.647, 200.091, 177.433, 244.147, 248.625", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 221.188, MB/s
train observed time per epoch, "37.055, 39.132, 41.926, 38.731, 40.112", "s, s, s, s, s"
train observed time, 196.955, s
train observed rate per epoch, "50.107, 47.356, 44.101, 47.864, 46.161", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.118, MB/s
train throughput samples per second per epoch, "0.756, 0.716, 0.668, 0.723, 0.698", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.712, samples/s
train throughput stdev samples per second, 0.029, samples/s
train io avg, 45.567, MB/s
train io stdev, 1.851, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.330, 2.911, 2.191, 1.943, 2.605", "s, s, s, s, s"
eval metadata time, 11.980, s
eval raw read time per epoch, "2.346, 3.269, 3.234, 2.719, 2.072", "s, s, s, s, s"
eval total raw read time, 13.640, s
eval raw read rate per epoch, "217.438, 156.402, 157.355, 187.873, 247.001", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 193.715, MB/s
eval observed time per epoch, "14.974, 15.793, 15.868, 15.084, 14.855", "s, s, s, s, s"
eval observed time, 76.573, s
eval observed rate per epoch, "37.422, 35.308, 35.126, 37.123, 37.750", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 36.546, MB/s
eval throughput samples per second per epoch, "0.534, 0.507, 0.504, 0.530, 0.539", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.523, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 33.458, MB/s
eval io stdev, 948.876, KB/s
