metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "7.266, 7.521, 7.716, 8.425, 7.199", "s, s, s, s, s"
train metadata time, 38.126, s
train raw read time per epoch, "7.788, 11.092, 9.078, 7.582, 7.697", "s, s, s, s, s"
train total raw read time, 43.236, s
train raw read rate per epoch, "230.104, 161.563, 197.404, 236.356, 232.813", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 211.648, MB/s
train observed time per epoch, "37.560, 56.710, 71.437, 61.995, 75.380", "s, s, s, s, s"
train observed time, 303.082, s
train observed rate per epoch, "49.410, 32.336, 25.547, 29.521, 24.188", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 32.200, MB/s
train throughput samples per second per epoch, "0.745, 0.494, 0.392, 0.452, 0.371", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.491, samples/s
train throughput stdev samples per second, 0.134, samples/s
train io avg, 31.414, MB/s
train io stdev, 8.606, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "3.258, 2.520, 2.635, 2.150, 2.109", "s, s, s, s, s"
eval metadata time, 12.673, s
eval raw read time per epoch, "2.026, 2.764, 2.303, 2.407, 2.613", "s, s, s, s, s"
eval total raw read time, 12.113, s
eval raw read rate per epoch, "252.724, 185.013, 222.206, 212.669, 195.503", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 213.788, MB/s
eval observed time per epoch, "14.802, 40.930, 58.296, 41.276, 43.934", "s, s, s, s, s"
eval observed time, 199.237, s
eval observed rate per epoch, "37.897, 12.917, 8.981, 12.805, 12.007", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.921, MB/s
eval throughput samples per second per epoch, "0.540, 0.195, 0.137, 0.194, 0.182", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.250, samples/s
eval throughput stdev samples per second, 0.147, samples/s
eval io avg, 15.987, MB/s
eval io stdev, 9.398, MB/s
