metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "5.126, 5.767, 5.555, 6.281, 6.216", "s, s, s, s, s"
train metadata time, 28.945, s
train raw read time per epoch, "6.582, 5.698, 6.685, 6.559, 7.000", "s, s, s, s, s"
train total raw read time, 32.524, s
train raw read rate per epoch, "272.277, 314.483, 268.043, 273.198, 256.016", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 276.804, MB/s
train observed time per epoch, "46.323, 34.508, 33.134, 31.243, 33.179", "s, s, s, s, s"
train observed time, 178.386, s
train observed rate per epoch, "39.795, 53.950, 56.277, 59.831, 56.198", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 53.210, MB/s
train throughput samples per second per epoch, "0.604, 0.811, 0.845, 0.896, 0.844", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.800, samples/s
train throughput stdev samples per second, 0.102, samples/s
train io avg, 51.213, MB/s
train io stdev, 6.500, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.529, 2.285, 1.675, 1.893, 2.307", "s, s, s, s, s"
eval metadata time, 9.689, s
eval raw read time per epoch, "1.389, 1.800, 1.295, 1.051, 3.190", "s, s, s, s, s"
eval total raw read time, 8.725, s
eval raw read rate per epoch, "368.118, 284.194, 394.820, 486.373, 160.217", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 339.181, MB/s
eval observed time per epoch, "11.791, 13.726, 13.013, 13.129, 13.554", "s, s, s, s, s"
eval observed time, 65.213, s
eval observed rate per epoch, "48.764, 41.177, 43.682, 43.255, 41.756", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 43.727, MB/s
eval throughput samples per second per epoch, "0.678, 0.583, 0.615, 0.609, 0.590", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.615, samples/s
eval throughput stdev samples per second, 0.034, samples/s
eval io avg, 39.368, MB/s
eval io stdev, 2.161, MB/s
