metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "6.251, 6.884, 7.093, 6.243, 7.069", "s, s, s, s, s"
train metadata time, 33.541, s
train raw read time per epoch, "8.195, 8.174, 7.301, 10.334, 8.976", "s, s, s, s, s"
train total raw read time, 42.981, s
train raw read rate per epoch, "218.661, 219.221, 245.458, 173.400, 199.641", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 211.276, MB/s
train observed time per epoch, "32.535, 46.270, 50.573, 52.042, 51.205", "s, s, s, s, s"
train observed time, 232.624, s
train observed rate per epoch, "57.357, 39.842, 36.362, 35.311, 35.901", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 40.955, MB/s
train throughput samples per second per epoch, "0.861, 0.605, 0.554, 0.538, 0.547", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.621, samples/s
train throughput stdev samples per second, 0.122, samples/s
train io avg, 39.734, MB/s
train io stdev, 7.816, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.191, 1.596, 1.870, 1.968, 1.678", "s, s, s, s, s"
eval metadata time, 9.303, s
eval raw read time per epoch, "2.843, 3.835, 3.666, 4.694, 3.247", "s, s, s, s, s"
eval total raw read time, 18.285, s
eval raw read rate per epoch, "179.290, 132.561, 139.236, 108.719, 157.355", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 144.004, MB/s
eval observed time per epoch, "14.565, 22.023, 26.691, 29.492, 14.539", "s, s, s, s, s"
eval observed time, 107.309, s
eval observed rate per epoch, "38.575, 24.697, 20.158, 18.155, 38.651", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 28.048, MB/s
eval throughput samples per second per epoch, "0.549, 0.363, 0.300, 0.271, 0.550", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.407, samples/s
eval throughput stdev samples per second, 0.121, samples/s
eval io avg, 26.032, MB/s
eval io stdev, 7.712, MB/s
