metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "25.648, 27.622, 28.264, 26.296, 28.387", "s, s, s, s, s"
train metadata time, 136.217, s
train raw read time per epoch, "40.014, 42.552, 42.526, 41.341, 44.421", "s, s, s, s, s"
train total raw read time, 210.853, s
train raw read rate per epoch, "179.139, 168.452, 168.557, 173.388, 161.363", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 170.180, MB/s
train observed time per epoch, "114.192, 108.016, 110.272, 109.473, 110.268", "s, s, s, s, s"
train observed time, 552.221, s
train observed rate per epoch, "65.747, 69.694, 68.198, 68.722, 68.201", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 68.112, MB/s
train throughput samples per second per epoch, "0.981, 1.037, 1.016, 1.023, 1.016", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.014, samples/s
train throughput stdev samples per second, 0.019, samples/s
train io avg, 64.923, MB/s
train io stdev, 1.184, MB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "6.136, 8.488, 7.020, 6.919, 7.890", "s, s, s, s, s"
eval metadata time, 36.454, s
eval raw read time per epoch, "9.255, 8.850, 10.285, 10.426, 9.780", "s, s, s, s, s"
eval total raw read time, 48.597, s
eval raw read rate per epoch, "193.596, 202.179, 173.568, 171.661, 183.105", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 185.088, MB/s
eval observed time per epoch, "42.016, 41.374, 42.141, 41.185, 42.606", "s, s, s, s, s"
eval observed time, 209.322, s
eval observed rate per epoch, "47.794, 48.627, 47.635, 48.877, 47.053", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 47.997, MB/s
eval throughput samples per second per epoch, "0.666, 0.677, 0.664, 0.680, 0.657", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.669, samples/s
eval throughput stdev samples per second, 0.008, samples/s
eval io avg, 42.811, MB/s
eval io stdev, 544.521, KB/s
