metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "60.153, 63.758, 63.209, 60.457, 64.662", "s, s, s, s, s"
train metadata time, 312.239, s
train raw read time per epoch, "56.959, 62.951, 60.535, 66.380, 63.809", "s, s, s, s, s"
train total raw read time, 310.633, s
train raw read rate per epoch, "125.845, 113.865, 118.411, 107.984, 112.335", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 115.688, MB/s
train observed time per epoch, "285.085, 381.858, 358.785, 388.237, 339.639", "s, s, s, s, s"
train observed time, 1753.603, s
train observed rate per epoch, "25.607, 19.028, 20.271, 18.712, 21.431", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 21.010, MB/s
train throughput samples per second per epoch, "0.393, 0.293, 0.312, 0.288, 0.330", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.323, samples/s
train throughput stdev samples per second, 0.038, samples/s
train io avg, 20.691, MB/s
train io stdev, 2.414, MB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "14.662, 15.201, 15.104, 16.002, 14.066", "s, s, s, s, s"
eval metadata time, 75.035, s
eval raw read time per epoch, "16.336, 15.482, 19.926, 15.706, 18.360", "s, s, s, s, s"
eval total raw read time, 85.810, s
eval raw read rate per epoch, "109.672, 115.395, 89.645, 113.486, 97.274", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 105.414, MB/s
eval observed time per epoch, "178.905, 136.869, 134.374, 149.265, 175.395", "s, s, s, s, s"
eval observed time, 774.808, s
eval observed rate per epoch, "10.275, 13.540, 13.800, 12.380, 10.486", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.097, MB/s
eval throughput samples per second per epoch, "0.157, 0.205, 0.208, 0.188, 0.160", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.183, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 11.733, MB/s
eval io stdev, 1.396, MB/s
