metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "57.892, 65.118, 64.297, 62.910, 64.113", "s, s, s, s, s"
train metadata time, 314.330, s
train raw read time per epoch, "75.683, 76.399, 82.728, 84.527, 87.890", "s, s, s, s, s"
train total raw read time, 407.227, s
train raw read rate per epoch, "94.710, 93.823, 86.645, 84.801, 81.556", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 88.307, MB/s
train observed time per epoch, "265.128, 270.904, 259.838, 296.865, 281.743", "s, s, s, s, s"
train observed time, 1374.478, s
train observed rate per epoch, "27.573, 26.974, 28.146, 24.573, 25.917", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 26.637, MB/s
train throughput samples per second per epoch, "0.422, 0.413, 0.431, 0.377, 0.398", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.408, samples/s
train throughput stdev samples per second, 0.019, samples/s
train io avg, 26.134, MB/s
train io stdev, 1.221, MB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "15.975, 18.402, 13.242, 15.793, 17.603", "s, s, s, s, s"
eval metadata time, 81.014, s
eval raw read time per epoch, "19.459, 31.784, 22.583, 39.707, 36.467", "s, s, s, s, s"
eval total raw read time, 150.000, s
eval raw read rate per epoch, "91.553, 56.267, 79.154, 44.822, 48.637", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 64.419, MB/s
eval observed time per epoch, "116.169, 113.072, 105.918, 136.238, 107.973", "s, s, s, s, s"
eval observed time, 579.371, s
eval observed rate per epoch, "16.050, 16.508, 17.673, 13.604, 17.321", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.231, MB/s
eval throughput samples per second per epoch, "0.241, 0.248, 0.264, 0.206, 0.259", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.244, samples/s
eval throughput stdev samples per second, 0.021, samples/s
eval io avg, 15.588, MB/s
eval io stdev, 1.327, MB/s
