metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "31.950, 31.792, 31.411, 31.444, 29.955", "s, s, s, s, s"
train metadata time, 156.552, s
train raw read time per epoch, "56.947, 66.430, 63.840, 63.438, 66.133", "s, s, s, s, s"
train total raw read time, 316.788, s
train raw read rate per epoch, "125.870, 107.903, 112.280, 112.992, 108.387", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 113.486, MB/s
train observed time per epoch, "136.923, 140.584, 137.948, 139.479, 141.210", "s, s, s, s, s"
train observed time, 696.144, s
train observed rate per epoch, "54.403, 52.933, 53.983, 53.368, 52.689", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 53.476, MB/s
train throughput samples per second per epoch, "0.818, 0.797, 0.812, 0.803, 0.793", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.805, samples/s
train throughput stdev samples per second, 0.009, samples/s
train io avg, 51.490, MB/s
train io stdev, 606.972, KB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "6.078, 6.961, 5.729, 6.154, 6.970", "s, s, s, s, s"
eval metadata time, 31.892, s
eval raw read time per epoch, "13.898, 15.094, 17.553, 17.059, 12.268", "s, s, s, s, s"
eval total raw read time, 75.871, s
eval raw read rate per epoch, "128.745, 118.255, 102.043, 104.903, 145.912", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 120.175, MB/s
eval observed time per epoch, "49.679, 50.755, 53.697, 50.744, 51.636", "s, s, s, s, s"
eval observed time, 256.510, s
eval observed rate per epoch, "39.684, 38.760, 36.441, 38.770, 38.035", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 38.338, MB/s
eval throughput samples per second per epoch, "0.564, 0.552, 0.521, 0.552, 0.542", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.546, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 34.954, MB/s
eval io stdev, 923.526, KB/s
