metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "24.808, 25.451, 25.954, 26.433, 27.462", "s, s, s, s, s"
train metadata time, 130.107, s
train raw read time per epoch, "37.616, 45.844, 42.615, 45.251, 44.032", "s, s, s, s, s"
train total raw read time, 215.358, s
train raw read rate per epoch, "190.555, 156.356, 168.203, 158.403, 162.792", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 167.262, MB/s
train observed time per epoch, "111.593, 109.867, 109.903, 108.000, 112.318", "s, s, s, s, s"
train observed time, 551.681, s
train observed rate per epoch, "67.353, 68.463, 68.438, 69.706, 66.896", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 68.171, MB/s
train throughput samples per second per epoch, "1.004, 1.019, 1.019, 1.037, 0.997", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.015, samples/s
train throughput stdev samples per second, 0.014, samples/s
train io avg, 64.977, MB/s
train io stdev, 912.072, KB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "5.138, 4.921, 5.197, 5.657, 5.358", "s, s, s, s, s"
eval metadata time, 26.271, s
eval raw read time per epoch, "12.581, 11.512, 11.217, 10.182, 12.721", "s, s, s, s, s"
eval total raw read time, 58.213, s
eval raw read rate per epoch, "142.097, 155.448, 159.263, 175.476, 140.189", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 154.943, MB/s
eval observed time per epoch, "40.715, 42.391, 42.695, 42.114, 41.533", "s, s, s, s, s"
eval observed time, 209.449, s
eval observed rate per epoch, "49.512, 47.320, 46.943, 47.669, 48.418", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 47.973, MB/s
eval throughput samples per second per epoch, "0.688, 0.661, 0.656, 0.665, 0.674", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.669, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 42.791, MB/s
eval io stdev, 740.771, KB/s
