metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "37.016, 37.203, 44.370, 36.877, 36.299", "s, s, s, s, s"
train metadata time, 191.766, s
train raw read time per epoch, "40.055, 43.559, 64.588, 41.393, 45.612", "s, s, s, s, s"
train total raw read time, 235.207, s
train raw read rate per epoch, "178.954, 164.560, 110.979, 173.169, 157.150", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 156.962, MB/s
train observed time per epoch, "215.423, 296.383, 277.107, 215.305, 156.634", "s, s, s, s, s"
train observed time, 1160.851, s
train observed rate per epoch, "34.092, 24.613, 26.358, 34.110, 47.323", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 33.300, MB/s
train throughput samples per second per epoch, "0.520, 0.378, 0.404, 0.520, 0.715", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.507, samples/s
train throughput stdev samples per second, 0.119, samples/s
train io avg, 32.476, MB/s
train io stdev, 7.619, MB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "9.770, 9.065, 9.574, 8.468, 8.526", "s, s, s, s, s"
eval metadata time, 45.404, s
eval raw read time per epoch, "10.898, 12.594, 12.972, 14.696, 12.848", "s, s, s, s, s"
eval total raw read time, 64.008, s
eval raw read rate per epoch, "164.031, 142.097, 137.329, 121.116, 139.236", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 141.255, MB/s
eval observed time per epoch, "75.725, 63.579, 85.395, 65.282, 50.582", "s, s, s, s, s"
eval observed time, 340.562, s
eval observed rate per epoch, "25.167, 30.343, 22.158, 29.493, 38.905", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 29.213, MB/s
eval throughput samples per second per epoch, "0.370, 0.440, 0.328, 0.429, 0.554", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.424, samples/s
eval throughput stdev samples per second, 0.076, samples/s
eval io avg, 27.143, MB/s
eval io stdev, 4.896, MB/s
