metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 252.000, GB
train size per rank, 10.500, GB
train emulated compute time per epoch, "7.752, 7.752, 7.752, 7.752, 7.752", "s, s, s, s, s"
train emulated compute time, 38.760, s
train metadata time per epoch, "72.824, 70.867, 64.003, 73.042, 67.346", "s, s, s, s, s"
train metadata time, 348.083, s
train raw read time per epoch, "97.436, 78.076, 82.870, 89.948, 81.104", "s, s, s, s, s"
train total raw read time, 429.434, s
train raw read rate per epoch, "110.349, 137.712, 129.745, 119.535, 132.570", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 125.982, MB/s
train observed time per epoch, "296.151, 236.057, 221.845, 220.807, 207.773", "s, s, s, s, s"
train observed time, 1182.633, s
train observed rate per epoch, "37.281, 47.095, 50.221, 50.466, 53.754", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.763, MB/s
train throughput samples per second per epoch, "0.567, 0.712, 0.757, 0.761, 0.809", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.721, samples/s
train throughput stdev samples per second, 0.083, samples/s
train io avg, 46.152, MB/s
train io stdev, 5.300, MB/s
eval total size, 63.000, GB
eval size per rank, 2.625, GB
eval emulated compute time per epoch, "6.783, 6.783, 6.783, 6.783, 6.783", "s, s, s, s, s"
eval emulated compute time, 33.915, s
eval metadata time per epoch, "18.320, 13.713, 14.616, 16.146, 16.530", "s, s, s, s, s"
eval metadata time, 79.326, s
eval raw read time per epoch, "19.111, 22.175, 21.839, 20.869, 21.512", "s, s, s, s, s"
eval total raw read time, 105.505, s
eval raw read rate per epoch, "140.189, 121.116, 123.023, 128.745, 124.931", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 127.742, MB/s
eval observed time per epoch, "94.303, 61.622, 64.684, 76.028, 63.970", "s, s, s, s, s"
eval observed time, 360.608, s
eval observed rate per epoch, "30.712, 49.016, 46.424, 38.818, 47.003", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 42.395, MB/s
eval throughput samples per second per epoch, "0.445, 0.682, 0.649, 0.552, 0.657", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.597, samples/s
eval throughput stdev samples per second, 0.088, samples/s
eval io avg, 38.211, MB/s
eval io stdev, 5.609, MB/s
