metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 252.000, GB
train size per rank, 10.500, GB
train emulated compute time per epoch, "7.752, 7.752, 7.752, 7.752, 7.752", "s, s, s, s, s"
train emulated compute time, 38.760, s
train metadata time per epoch, "110.352, 109.148, 110.595, 110.263, 107.883", "s, s, s, s, s"
train metadata time, 548.241, s
train raw read time per epoch, "71.516, 87.419, 89.071, 75.899, 91.671", "s, s, s, s, s"
train total raw read time, 415.575, s
train raw read rate per epoch, "150.344, 122.993, 120.712, 141.662, 117.289", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 130.601, MB/s
train observed time per epoch, "221.463, 232.087, 237.201, 229.681, 234.267", "s, s, s, s, s"
train observed time, 1154.698, s
train observed rate per epoch, "50.311, 47.928, 46.859, 48.447, 47.467", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 48.202, MB/s
train throughput samples per second per epoch, "0.759, 0.724, 0.708, 0.731, 0.717", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.728, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 46.583, MB/s
train io stdev, 1.098, MB/s
eval total size, 63.000, GB
eval size per rank, 2.625, GB
eval emulated compute time per epoch, "6.783, 6.783, 6.783, 6.783, 6.783", "s, s, s, s, s"
eval emulated compute time, 33.915, s
eval metadata time per epoch, "26.980, 26.310, 27.911, 27.443, 27.775", "s, s, s, s, s"
eval metadata time, 136.418, s
eval raw read time per epoch, "24.523, 24.880, 24.459, 25.060, 24.427", "s, s, s, s, s"
eval total raw read time, 123.348, s
eval raw read rate per epoch, "108.719, 107.765, 109.672, 106.812, 109.672", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 108.971, MB/s
eval observed time per epoch, "77.501, 74.941, 77.195, 76.555, 77.169", "s, s, s, s, s"
eval observed time, 383.361, s
eval observed rate per epoch, "38.010, 39.438, 38.175, 38.525, 38.189", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 38.467, MB/s
eval throughput samples per second per epoch, "0.542, 0.560, 0.544, 0.549, 0.544", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.548, samples/s
eval throughput stdev samples per second, 0.007, samples/s
eval io avg, 35.062, MB/s
eval io stdev, 435.988, KB/s
