metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 31.500, GB
train size per rank, 1.312, GB
train emulated compute time per epoch, "0.969, 0.969, 0.969, 0.969, 0.969", "s, s, s, s, s"
train emulated compute time, 4.845, s
train metadata time per epoch, "4.569, 3.742, 4.157, 4.548, 4.023", "s, s, s, s, s"
train metadata time, 21.039, s
train raw read time per epoch, "5.652, 6.358, 5.613, 5.258, 5.468", "s, s, s, s, s"
train total raw read time, 28.349, s
train raw read rate per epoch, "237.788, 211.377, 239.454, 255.597, 245.792", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 238.002, MB/s
train observed time per epoch, "19.923, 14.986, 13.985, 13.650, 14.209", "s, s, s, s, s"
train observed time, 76.753, s
train observed rate per epoch, "70.908, 95.884, 103.254, 105.987, 101.511", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 95.509, MB/s
train throughput samples per second per epoch, "1.054, 1.401, 1.502, 1.538, 1.478", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.395, samples/s
train throughput stdev samples per second, 0.176, samples/s
train io avg, 89.259, MB/s
train io stdev, 11.271, MB/s
eval total size, 6.000, GB
eval size per rank, 256.000, MB
eval emulated compute time per epoch, "0.646, 0.646, 0.646, 0.646, 0.646", "s, s, s, s, s"
eval emulated compute time, 3.230, s
eval metadata time per epoch, "0.794, 0.684, 0.663, 0.937, 1.089", "s, s, s, s, s"
eval metadata time, 4.167, s
eval raw read time per epoch, "0.872, 0.921, 0.683, 0.945, 1.215", "s, s, s, s, s"
eval total raw read time, 4.635, s
eval raw read rate per epoch, "292.777, 277.519, 374.794, 270.843, 209.808", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 285.646, MB/s
eval observed time per epoch, "4.309, 4.074, 3.813, 5.017, 4.912", "s, s, s, s, s"
eval observed time, 22.123, s
eval observed rate per epoch, "69.896, 74.688, 80.838, 58.572, 60.011", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 68.801, MB/s
eval throughput samples per second per epoch, "0.928, 0.982, 1.049, 0.797, 0.814", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.914, samples/s
eval throughput stdev samples per second, 0.097, samples/s
eval io avg, 58.510, MB/s
eval io stdev, 6.179, MB/s
