metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 31.500, GB
train size per rank, 1.312, GB
train emulated compute time per epoch, "0.969, 0.969, 0.969, 0.969, 0.969", "s, s, s, s, s"
train emulated compute time, 4.845, s
train metadata time per epoch, "3.862, 3.332, 3.697, 3.847, 4.099", "s, s, s, s, s"
train metadata time, 18.837, s
train raw read time per epoch, "5.468, 5.651, 5.887, 6.211, 6.004", "s, s, s, s, s"
train total raw read time, 29.222, s
train raw read rate per epoch, "245.815, 237.814, 228.284, 216.384, 223.843", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 230.429, MB/s
train observed time per epoch, "18.500, 15.138, 14.316, 14.493, 14.914", "s, s, s, s, s"
train observed time, 77.361, s
train observed rate per epoch, "76.662, 94.854, 100.698, 99.380, 96.380", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 93.595, MB/s
train throughput samples per second per epoch, "1.135, 1.387, 1.467, 1.449, 1.408", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.369, samples/s
train throughput stdev samples per second, 0.120, samples/s
train io avg, 87.633, MB/s
train io stdev, 7.709, MB/s
eval total size, 6.000, GB
eval size per rank, 256.000, MB
eval emulated compute time per epoch, "0.646, 0.646, 0.646, 0.646, 0.646", "s, s, s, s, s"
eval emulated compute time, 3.230, s
eval metadata time per epoch, "0.817, 0.513, 0.708, 0.808, 0.623", "s, s, s, s, s"
eval metadata time, 3.469, s
eval raw read time per epoch, "0.844, 1.178, 1.074, 0.803, 0.821", "s, s, s, s, s"
eval total raw read time, 4.721, s
eval raw read rate per epoch, "302.314, 216.483, 237.465, 318.526, 311.851", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 277.895, MB/s
eval observed time per epoch, "4.154, 4.067, 4.808, 3.909, 4.198", "s, s, s, s, s"
eval observed time, 21.135, s
eval observed rate per epoch, "72.980, 74.831, 61.514, 78.464, 72.072", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 71.973, MB/s
eval throughput samples per second per epoch, "0.963, 0.984, 0.832, 1.023, 0.953", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.951, samples/s
eval throughput stdev samples per second, 0.064, samples/s
eval io avg, 60.860, MB/s
eval io stdev, 4.107, MB/s
