metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 31.500, GB
train size per rank, 1.312, GB
train emulated compute time per epoch, "0.969, 0.969, 0.969, 0.969, 0.969", "s, s, s, s, s"
train emulated compute time, 4.845, s
train metadata time per epoch, "4.617, 3.482, 3.848, 4.151, 4.145", "s, s, s, s, s"
train metadata time, 20.244, s
train raw read time per epoch, "5.694, 6.595, 6.105, 6.128, 5.509", "s, s, s, s, s"
train total raw read time, 30.030, s
train raw read rate per epoch, "236.051, 203.801, 220.164, 219.332, 243.944", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 224.658, MB/s
train observed time per epoch, "16.717, 15.439, 15.007, 14.144, 13.326", "s, s, s, s, s"
train observed time, 74.633, s
train observed rate per epoch, "85.343, 92.880, 95.741, 102.012, 108.763", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 96.947, MB/s
train throughput samples per second per epoch, "1.256, 1.360, 1.399, 1.485, 1.576", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.415, samples/s
train throughput stdev samples per second, 0.109, samples/s
train io avg, 90.576, MB/s
train io stdev, 6.964, MB/s
eval total size, 6.000, GB
eval size per rank, 256.000, MB
eval emulated compute time per epoch, "0.646, 0.646, 0.646, 0.646, 0.646", "s, s, s, s, s"
eval emulated compute time, 3.230, s
eval metadata time per epoch, "0.823, 0.759, 0.702, 1.157, 0.924", "s, s, s, s, s"
eval metadata time, 4.366, s
eval raw read time per epoch, "1.454, 1.027, 1.193, 1.313, 1.084", "s, s, s, s, s"
eval total raw read time, 6.070, s
eval raw read rate per epoch, "175.476, 248.908, 214.576, 194.549, 235.557", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 214.250, MB/s
eval observed time per epoch, "5.410, 5.068, 4.437, 5.572, 5.736", "s, s, s, s, s"
eval observed time, 26.223, s
eval observed rate per epoch, "53.731, 57.896, 67.531, 51.968, 50.297", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.284, MB/s
eval throughput samples per second per epoch, "0.739, 0.789, 0.902, 0.718, 0.697", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.769, samples/s
eval throughput stdev samples per second, 0.073, samples/s
eval io avg, 49.221, MB/s
eval io stdev, 4.668, MB/s
