metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 21.000, GB
train emulated compute time per epoch, "15.504, 15.504, 15.504, 15.504, 15.504", "s, s, s, s, s"
train emulated compute time, 77.520, s
train metadata time per epoch, "117.076, 113.637, 107.044, 108.948, 108.689", "s, s, s, s, s"
train metadata time, 555.393, s
train raw read time per epoch, "235.571, 260.865, 247.422, 242.009, 239.863", "s, s, s, s, s"
train total raw read time, 1225.731, s
train raw read rate per epoch, "91.284, 82.433, 86.912, 88.855, 89.650", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 87.827, MB/s
train observed time per epoch, "452.462, 474.009, 450.072, 441.331, 443.445", "s, s, s, s, s"
train observed time, 2261.320, s
train observed rate per epoch, "49.213, 46.899, 49.483, 50.499, 50.249", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 49.269, MB/s
train throughput samples per second per epoch, "0.743, 0.709, 0.747, 0.761, 0.758", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.743, samples/s
train throughput stdev samples per second, 0.019, samples/s
train io avg, 47.577, MB/s
train io stdev, 1.190, MB/s
eval total size, 126.000, GB
eval size per rank, 5.250, GB
eval emulated compute time per epoch, "13.566, 13.566, 13.566, 13.566, 13.566", "s, s, s, s, s"
eval emulated compute time, 67.830, s
eval metadata time per epoch, "20.164, 21.142, 19.990, 20.015, 19.471", "s, s, s, s, s"
eval metadata time, 100.782, s
eval raw read time per epoch, "62.683, 66.028, 60.727, 57.959, 56.517", "s, s, s, s, s"
eval total raw read time, 303.914, s
eval raw read rate per epoch, "84.877, 81.062, 87.737, 92.506, 94.413", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 88.718, MB/s
eval observed time per epoch, "157.258, 155.192, 147.770, 149.976, 147.329", "s, s, s, s, s"
eval observed time, 757.524, s
eval observed rate per epoch, "37.413, 37.959, 40.058, 39.410, 40.190", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 39.006, MB/s
eval throughput samples per second per epoch, "0.534, 0.541, 0.568, 0.560, 0.570", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.555, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 35.508, MB/s
eval io stdev, 953.952, KB/s
