metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 21.000, GB
train emulated compute time per epoch, "15.504, 15.504, 15.504, 15.504, 15.504", "s, s, s, s, s"
train emulated compute time, 77.520, s
train metadata time per epoch, "92.328, 94.379, 89.272, 93.445, 88.563", "s, s, s, s, s"
train metadata time, 457.988, s
train raw read time per epoch, "142.799, 150.472, 155.345, 144.711, 152.937", "s, s, s, s, s"
train total raw read time, 746.264, s
train raw read rate per epoch, "150.589, 142.909, 138.427, 148.600, 140.606", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 144.227, MB/s
train observed time per epoch, "317.350, 317.433, 318.645, 316.957, 318.756", "s, s, s, s, s"
train observed time, 1589.140, s
train observed rate per epoch, "71.241, 71.222, 70.937, 71.334, 70.911", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 71.129, MB/s
train throughput samples per second per epoch, "1.059, 1.058, 1.054, 1.060, 1.054", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.057, samples/s
train throughput stdev samples per second, 0.002, samples/s
train io avg, 67.659, MB/s
train io stdev, 159.265, KB/s
eval total size, 126.000, GB
eval size per rank, 5.250, GB
eval emulated compute time per epoch, "13.566, 13.566, 13.566, 13.566, 13.566", "s, s, s, s, s"
eval emulated compute time, 67.830, s
eval metadata time per epoch, "20.433, 22.205, 22.863, 19.857, 24.059", "s, s, s, s, s"
eval metadata time, 109.417, s
eval raw read time per epoch, "34.276, 32.795, 31.749, 33.957, 32.651", "s, s, s, s, s"
eval total raw read time, 165.428, s
eval raw read rate per epoch, "156.402, 163.078, 168.800, 158.310, 164.031", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 162.613, MB/s
eval observed time per epoch, "112.418, 113.042, 113.059, 111.241, 112.323", "s, s, s, s, s"
eval observed time, 562.082, s
eval observed rate per epoch, "54.384, 54.043, 54.033, 55.039, 54.437", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.387, MB/s
eval throughput samples per second per epoch, "0.747, 0.743, 0.743, 0.755, 0.748", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.747, samples/s
eval throughput stdev samples per second, 0.004, samples/s
eval io avg, 47.823, MB/s
eval io stdev, 289.972, KB/s
