metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "7.201, 7.873, 9.011, 9.634, 8.992", "s, s, s, s, s"
train metadata time, 42.711, s
train raw read time per epoch, "11.978, 11.094, 12.784, 12.677, 13.719", "s, s, s, s, s"
train total raw read time, 62.251, s
train raw read rate per epoch, "224.415, 242.304, 210.267, 212.035, 195.929", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 216.990, MB/s
train observed time per epoch, "29.852, 32.123, 34.981, 35.950, 38.336", "s, s, s, s, s"
train observed time, 171.242, s
train observed rate per epoch, "96.294, 89.051, 81.349, 79.031, 73.850", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 83.915, MB/s
train throughput samples per second per epoch, "1.407, 1.307, 1.201, 1.168, 1.096", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.236, samples/s
train throughput stdev samples per second, 0.109, samples/s
train io avg, 79.090, MB/s
train io stdev, 7.003, MB/s
eval total size, 15.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.213, 1.613, 2.447, 2.796, 2.508", "s, s, s, s, s"
eval metadata time, 11.576, s
eval raw read time per epoch, "2.959, 3.407, 3.204, 2.837, 2.598", "s, s, s, s, s"
eval total raw read time, 15.006, s
eval raw read rate per epoch, "215.530, 186.920, 199.317, 225.066, 246.048", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 215.151, MB/s
eval observed time per epoch, "11.574, 12.591, 12.342, 12.197, 12.814", "s, s, s, s, s"
eval observed time, 61.518, s
eval observed rate per epoch, "64.263, 58.309, 59.661, 60.479, 57.148", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 59.972, MB/s
eval throughput samples per second per epoch, "0.864, 0.794, 0.810, 0.820, 0.780", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.814, samples/s
eval throughput stdev samples per second, 0.029, samples/s
eval io avg, 52.079, MB/s
eval io stdev, 1.825, MB/s
