metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "7.250, 8.454, 8.642, 9.243, 8.784", "s, s, s, s, s"
train metadata time, 42.373, s
train raw read time per epoch, "11.989, 12.641, 11.456, 12.198, 12.623", "s, s, s, s, s"
train total raw read time, 60.906, s
train raw read rate per epoch, "224.209, 212.635, 234.646, 220.370, 212.950", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 220.962, MB/s
train observed time per epoch, "31.601, 36.012, 36.089, 37.388, 36.970", "s, s, s, s, s"
train observed time, 178.060, s
train observed rate per epoch, "90.616, 78.888, 78.710, 75.825, 76.729", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 80.153, MB/s
train throughput samples per second per epoch, "1.329, 1.166, 1.164, 1.123, 1.136", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.184, samples/s
train throughput stdev samples per second, 0.074, samples/s
train io avg, 75.757, MB/s
train io stdev, 4.767, MB/s
eval total size, 15.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.908, 1.883, 1.961, 1.941, 2.520", "s, s, s, s, s"
eval metadata time, 10.213, s
eval raw read time per epoch, "3.483, 2.808, 2.317, 2.053, 2.047", "s, s, s, s, s"
eval total raw read time, 12.708, s
eval raw read rate per epoch, "183.105, 226.974, 275.611, 310.897, 311.851", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 262.442, MB/s
eval observed time per epoch, "10.945, 11.463, 10.464, 11.937, 11.582", "s, s, s, s, s"
eval observed time, 56.390, s
eval observed rate per epoch, "68.596, 64.989, 72.327, 62.004, 64.214", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 66.426, MB/s
eval throughput samples per second per epoch, "0.914, 0.872, 0.956, 0.838, 0.863", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.889, samples/s
eval throughput stdev samples per second, 0.042, samples/s
eval io avg, 56.869, MB/s
eval io stdev, 2.655, MB/s
