metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "22.572, 23.532, 23.662, 22.727, 22.382", "s, s, s, s, s"
train metadata time, 114.875, s
train raw read time per epoch, "28.230, 26.827, 24.499, 23.066, 24.412", "s, s, s, s, s"
train total raw read time, 127.034, s
train raw read rate per epoch, "190.438, 200.391, 219.436, 233.070, 220.219", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 212.711, MB/s
train observed time per epoch, "169.490, 175.032, 163.422, 173.174, 167.847", "s, s, s, s, s"
train observed time, 848.965, s
train observed rate per epoch, "32.461, 31.409, 33.695, 31.754, 32.786", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 32.421, MB/s
train throughput samples per second per epoch, "0.496, 0.480, 0.514, 0.485, 0.500", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.495, samples/s
train throughput stdev samples per second, 0.012, samples/s
train io avg, 31.680, MB/s
train io stdev, 785.199, KB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "8.428, 6.739, 7.276, 7.596, 7.379", "s, s, s, s, s"
eval metadata time, 37.417, s
eval raw read time per epoch, "9.101, 7.393, 8.256, 8.211, 9.347", "s, s, s, s, s"
eval total raw read time, 42.308, s
eval raw read rate per epoch, "140.189, 172.614, 154.495, 155.448, 136.375", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 152.329, MB/s
eval observed time per epoch, "57.951, 42.057, 44.542, 48.209, 58.182", "s, s, s, s, s"
eval observed time, 250.941, s
eval observed rate per epoch, "23.391, 32.967, 30.983, 28.457, 23.293", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 27.818, MB/s
eval throughput samples per second per epoch, "0.345, 0.476, 0.449, 0.415, 0.344", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.406, samples/s
eval throughput stdev samples per second, 0.054, samples/s
eval io avg, 25.962, MB/s
eval io stdev, 3.428, MB/s
