metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "36.526, 36.349, 36.072, 35.372, 39.543", "s, s, s, s, s"
train metadata time, 183.862, s
train raw read time per epoch, "55.828, 48.592, 44.404, 50.961, 51.198", "s, s, s, s, s"
train total raw read time, 250.983, s
train raw read rate per epoch, "96.296, 110.634, 121.071, 105.493, 105.003", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 107.699, MB/s
train observed time per epoch, "127.737, 141.733, 125.187, 138.283, 125.803", "s, s, s, s, s"
train observed time, 658.742, s
train observed rate per epoch, "43.403, 38.996, 44.315, 39.997, 44.092", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 42.161, MB/s
train throughput samples per second per epoch, "0.658, 0.593, 0.671, 0.607, 0.668", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.639, samples/s
train throughput stdev samples per second, 0.033, samples/s
train io avg, 40.914, MB/s
train io stdev, 2.090, MB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "7.200, 8.892, 7.626, 9.154, 9.497", "s, s, s, s, s"
eval metadata time, 42.368, s
eval raw read time per epoch, "14.438, 14.444, 13.312, 12.810, 14.619", "s, s, s, s, s"
eval total raw read time, 69.623, s
eval raw read rate per epoch, "87.737, 87.737, 95.367, 99.182, 86.784", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 92.181, MB/s
eval observed time per epoch, "55.616, 50.046, 38.177, 41.264, 38.916", "s, s, s, s, s"
eval observed time, 224.019, s
eval observed rate per epoch, "24.434, 27.341, 36.627, 33.653, 35.868", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 31.584, MB/s
eval throughput samples per second per epoch, "0.360, 0.400, 0.524, 0.485, 0.514", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.456, samples/s
eval throughput stdev samples per second, 0.065, samples/s
eval io avg, 29.206, MB/s
eval io stdev, 4.172, MB/s
