metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "57.665, 49.342, 45.262, 58.026, 48.082", "s, s, s, s, s"
train metadata time, 258.377, s
train raw read time per epoch, "138.428, 136.816, 132.082, 165.092, 132.888", "s, s, s, s, s"
train total raw read time, 705.306, s
train raw read rate per epoch, "38.836, 39.293, 40.701, 32.563, 40.454", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 38.370, MB/s
train observed time per epoch, "473.649, 455.552, 427.738, 440.935, 489.135", "s, s, s, s, s"
train observed time, 2287.009, s
train observed rate per epoch, "11.443, 11.902, 12.683, 12.300, 11.078", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 11.881, MB/s
train throughput samples per second per epoch, "0.177, 0.184, 0.196, 0.191, 0.172", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.184, samples/s
train throughput stdev samples per second, 0.009, samples/s
train io avg, 11.780, MB/s
train io stdev, 579.194, KB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "7.639, 9.551, 6.088, 8.509, 7.470", "s, s, s, s, s"
eval metadata time, 39.258, s
eval raw read time per epoch, "32.734, 31.892, 34.484, 31.553, 33.822", "s, s, s, s, s"
eval total raw read time, 164.485, s
eval raw read rate per epoch, "39.101, 40.054, 36.239, 40.054, 37.192", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 38.953, MB/s
eval observed time per epoch, "167.300, 161.708, 159.874, 154.336, 157.625", "s, s, s, s, s"
eval observed time, 800.842, s
eval observed rate per epoch, "7.801, 8.076, 8.171, 8.471, 8.290", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 8.162, MB/s
eval throughput samples per second per epoch, "0.120, 0.124, 0.125, 0.130, 0.127", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.125, samples/s
eval throughput stdev samples per second, 0.003, samples/s
eval io avg, 7.997, MB/s
eval io stdev, 219.492, KB/s
