metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "26.728, 28.763, 33.788, 27.151, 28.604", "s, s, s, s, s"
train metadata time, 145.034, s
train raw read time per epoch, "26.505, 27.024, 32.576, 27.393, 29.729", "s, s, s, s, s"
train total raw read time, 143.226, s
train raw read rate per epoch, "202.827, 198.938, 165.028, 196.256, 180.835", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 188.777, MB/s
train observed time per epoch, "91.890, 100.430, 130.604, 130.611, 122.645", "s, s, s, s, s"
train observed time, 576.179, s
train observed rate per epoch, "61.081, 55.679, 42.421, 42.419, 45.264", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 49.373, MB/s
train throughput samples per second per epoch, "0.914, 0.836, 0.643, 0.643, 0.685", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.744, samples/s
train throughput stdev samples per second, 0.111, samples/s
train io avg, 47.638, MB/s
train io stdev, 7.087, MB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "6.651, 5.437, 5.138, 5.165, 5.490", "s, s, s, s, s"
eval metadata time, 27.880, s
eval raw read time per epoch, "8.852, 7.314, 9.598, 10.991, 9.858", "s, s, s, s, s"
eval total raw read time, 46.613, s
eval raw read rate per epoch, "144.004, 174.521, 132.561, 116.348, 129.699", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 139.852, MB/s
eval observed time per epoch, "41.627, 48.722, 29.284, 39.985, 27.331", "s, s, s, s, s"
eval observed time, 186.949, s
eval observed rate per epoch, "33.335, 28.137, 49.128, 34.825, 53.109", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 39.707, MB/s
eval throughput samples per second per epoch, "0.480, 0.410, 0.683, 0.500, 0.732", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.561, samples/s
eval throughput stdev samples per second, 0.124, samples/s
eval io avg, 35.915, MB/s
eval io stdev, 7.936, MB/s
