metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "3.765, 3.988, 3.871, 3.981, 4.055", "s, s, s, s, s"
train metadata time, 19.661, s
train raw read time per epoch, "25.547, 25.174, 25.394, 25.257, 25.034", "s, s, s, s, s"
train total raw read time, 126.405, s
train raw read rate per epoch, "140.290, 142.371, 141.137, 141.902, 143.167", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 141.773, MB/s
train observed time per epoch, "58.357, 51.656, 51.814, 49.400, 49.410", "s, s, s, s, s"
train observed time, 260.638, s
train observed rate per epoch, "64.260, 73.035, 72.800, 76.555, 76.538", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 72.638, MB/s
train throughput samples per second per epoch, "0.960, 1.084, 1.081, 1.134, 1.133", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.078, samples/s
train throughput stdev samples per second, 0.064, samples/s
train io avg, 69.010, MB/s
train io stdev, 4.069, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.139, 0.909, 0.924, 1.129, 0.775", "s, s, s, s, s"
eval metadata time, 4.875, s
eval raw read time per epoch, "5.734, 6.084, 6.069, 5.901, 5.891", "s, s, s, s, s"
eval total raw read time, 29.678, s
eval raw read rate per epoch, "155.448, 146.865, 146.865, 151.634, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 151.027, MB/s
eval observed time per epoch, "20.643, 19.776, 19.781, 19.155, 19.229", "s, s, s, s, s"
eval observed time, 98.583, s
eval observed rate per epoch, "48.744, 51.156, 51.142, 53.036, 52.806", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.377, MB/s
eval throughput samples per second per epoch, "0.678, 0.708, 0.708, 0.731, 0.728", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.711, samples/s
eval throughput stdev samples per second, 0.019, samples/s
eval io avg, 45.476, MB/s
eval io stdev, 1.208, MB/s
