metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "3.727, 4.150, 3.618, 4.753, 3.334", "s, s, s, s, s"
train metadata time, 19.583, s
train raw read time per epoch, "25.158, 24.803, 25.086, 24.099, 25.638", "s, s, s, s, s"
train total raw read time, 124.784, s
train raw read rate per epoch, "142.460, 144.496, 142.868, 148.720, 139.793", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 143.668, MB/s
train observed time per epoch, "41.921, 41.757, 41.410, 41.225, 41.322", "s, s, s, s, s"
train observed time, 207.634, s
train observed rate per epoch, "91.110, 91.491, 92.309, 92.752, 92.519", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 92.036, MB/s
train throughput samples per second per epoch, "1.336, 1.341, 1.352, 1.358, 1.355", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.349, samples/s
train throughput stdev samples per second, 0.009, samples/s
train io avg, 86.309, MB/s
train io stdev, 565.810, KB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.032, 0.998, 0.977, 1.460, 1.209", "s, s, s, s, s"
eval metadata time, 5.676, s
eval raw read time per epoch, "5.841, 5.983, 5.879, 5.432, 5.519", "s, s, s, s, s"
eval total raw read time, 28.653, s
eval raw read rate per epoch, "152.588, 149.727, 151.634, 164.031, 162.124", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 156.575, MB/s
eval observed time per epoch, "18.130, 17.973, 17.942, 18.181, 18.556", "s, s, s, s, s"
eval observed time, 90.781, s
eval observed rate per epoch, "56.462, 57.026, 57.140, 56.281, 54.986", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.379, MB/s
eval throughput samples per second per epoch, "0.772, 0.779, 0.780, 0.770, 0.754", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.771, samples/s
eval throughput stdev samples per second, 0.009, samples/s
eval io avg, 49.355, MB/s
eval io stdev, 604.026, KB/s
