metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "8.336, 6.754, 7.923, 7.333, 8.116", "s, s, s, s, s"
train metadata time, 38.461, s
train raw read time per epoch, "34.850, 35.915, 35.462, 35.470, 33.926", "s, s, s, s, s"
train total raw read time, 175.623, s
train raw read rate per epoch, "77.129, 74.843, 75.800, 75.782, 79.230", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 76.557, MB/s
train observed time per epoch, "60.680, 59.232, 59.771, 61.202, 58.303", "s, s, s, s, s"
train observed time, 299.188, s
train observed rate per epoch, "45.759, 46.915, 46.478, 45.356, 47.688", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 46.439, MB/s
train throughput samples per second per epoch, "0.692, 0.709, 0.703, 0.686, 0.720", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.702, samples/s
train throughput stdev samples per second, 0.012, samples/s
train io avg, 44.935, MB/s
train io stdev, 793.565, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "2.602, 2.106, 2.559, 1.677, 2.690", "s, s, s, s, s"
eval metadata time, 11.634, s
eval raw read time per epoch, "9.955, 10.273, 9.673, 10.330, 8.970", "s, s, s, s, s"
eval total raw read time, 49.202, s
eval raw read rate per epoch, "76.294, 74.386, 79.154, 73.433, 84.877", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 78.252, MB/s
eval observed time per epoch, "29.453, 29.133, 29.085, 28.770, 28.997", "s, s, s, s, s"
eval observed time, 145.438, s
eval observed rate per epoch, "27.912, 28.240, 28.290, 28.622, 28.382", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 28.289, MB/s
eval throughput samples per second per epoch, "0.407, 0.412, 0.413, 0.417, 0.414", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.413, samples/s
eval throughput stdev samples per second, 0.003, samples/s
eval io avg, 26.404, MB/s
eval io stdev, 205.047, KB/s
