metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "8.087, 6.949, 7.549, 5.054, 5.644", "s, s, s, s, s"
train metadata time, 33.281, s
train raw read time per epoch, "34.665, 31.688, 28.101, 30.572, 29.590", "s, s, s, s, s"
train total raw read time, 154.616, s
train raw read rate per epoch, "103.389, 113.102, 127.540, 117.231, 121.122", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 116.477, MB/s
train observed time per epoch, "57.021, 50.795, 48.827, 48.665, 47.783", "s, s, s, s, s"
train observed time, 253.091, s
train observed rate per epoch, "65.837, 74.340, 77.503, 77.775, 79.293", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 74.950, MB/s
train throughput samples per second per epoch, "0.982, 1.102, 1.147, 1.151, 1.172", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.111, samples/s
train throughput stdev samples per second, 0.068, samples/s
train io avg, 71.093, MB/s
train io stdev, 4.366, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.522, 2.433, 1.172, 1.405, 1.435", "s, s, s, s, s"
eval metadata time, 7.966, s
eval raw read time per epoch, "7.550, 6.414, 7.253, 7.071, 6.315", "s, s, s, s, s"
eval total raw read time, 34.603, s
eval raw read rate per epoch, "118.255, 139.236, 123.023, 125.885, 141.144", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 130.101, MB/s
eval observed time per epoch, "20.152, 19.403, 20.053, 18.811, 19.611", "s, s, s, s, s"
eval observed time, 98.030, s
eval observed rate per epoch, "50.080, 52.270, 50.359, 54.140, 51.642", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.698, MB/s
eval throughput samples per second per epoch, "0.695, 0.722, 0.698, 0.744, 0.714", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.715, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 45.729, MB/s
eval io stdev, 1.143, MB/s
