metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "3.799, 5.690, 3.613, 5.221, 4.759", "s, s, s, s, s"
train metadata time, 23.082, s
train raw read time per epoch, "24.722, 23.097, 24.870, 23.605, 24.077", "s, s, s, s, s"
train total raw read time, 120.371, s
train raw read rate per epoch, "144.974, 155.174, 144.108, 151.829, 148.855", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 148.988, MB/s
train observed time per epoch, "42.592, 41.659, 41.480, 40.991, 41.259", "s, s, s, s, s"
train observed time, 207.981, s
train observed rate per epoch, "89.581, 91.722, 92.144, 93.315, 92.670", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 91.886, MB/s
train throughput samples per second per epoch, "1.315, 1.344, 1.350, 1.366, 1.357", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.347, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 86.176, MB/s
train io stdev, 1.117, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.025, 0.864, 1.529, 0.870, 1.371", "s, s, s, s, s"
eval metadata time, 5.658, s
eval raw read time per epoch, "5.249, 5.368, 5.179, 5.683, 5.357", "s, s, s, s, s"
eval total raw read time, 26.837, s
eval raw read rate per epoch, "169.754, 166.893, 172.614, 157.355, 166.893", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 167.102, MB/s
eval observed time per epoch, "17.402, 17.890, 18.511, 17.614, 18.408", "s, s, s, s, s"
eval observed time, 89.825, s
eval observed rate per epoch, "59.176, 57.328, 55.139, 58.360, 55.490", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 57.099, MB/s
eval throughput samples per second per epoch, "0.804, 0.783, 0.756, 0.795, 0.761", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.780, samples/s
eval throughput stdev samples per second, 0.019, samples/s
eval io avg, 49.903, MB/s
eval io stdev, 1.202, MB/s
