metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "5.490, 4.218, 5.280, 4.144, 3.532", "s, s, s, s, s"
train metadata time, 22.664, s
train raw read time per epoch, "23.432, 24.081, 23.568, 24.641, 24.987", "s, s, s, s, s"
train total raw read time, 120.710, s
train raw read rate per epoch, "152.950, 148.830, 152.067, 145.450, 143.434", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 148.546, MB/s
train observed time per epoch, "45.211, 43.091, 42.078, 42.017, 42.780", "s, s, s, s, s"
train observed time, 215.177, s
train observed rate per epoch, "84.077, 88.479, 90.748, 90.887, 89.163", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 88.671, MB/s
train throughput samples per second per epoch, "1.239, 1.300, 1.331, 1.333, 1.309", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.302, samples/s
train throughput stdev samples per second, 0.034, samples/s
train io avg, 83.339, MB/s
train io stdev, 2.189, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.570, 1.861, 1.432, 1.150, 1.328", "s, s, s, s, s"
eval metadata time, 7.340, s
eval raw read time per epoch, "4.703, 4.792, 5.211, 5.793, 5.202", "s, s, s, s, s"
eval total raw read time, 25.703, s
eval raw read rate per epoch, "189.780, 186.920, 171.661, 154.495, 171.661", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 175.256, MB/s
eval observed time per epoch, "17.979, 18.216, 17.755, 17.867, 18.005", "s, s, s, s, s"
eval observed time, 89.822, s
eval observed rate per epoch, "57.006, 56.156, 57.830, 57.414, 56.908", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 57.063, MB/s
eval throughput samples per second per epoch, "0.779, 0.769, 0.789, 0.784, 0.778", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.779, samples/s
eval throughput stdev samples per second, 0.007, samples/s
eval io avg, 49.880, MB/s
eval io stdev, 437.289, KB/s
