metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "5.074, 4.187, 4.193, 4.370, 4.765", "s, s, s, s, s"
train metadata time, 22.590, s
train raw read time per epoch, "24.865, 25.662, 25.661, 25.257, 25.179", "s, s, s, s, s"
train total raw read time, 126.624, s
train raw read rate per epoch, "144.141, 139.662, 139.667, 141.900, 142.339", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 141.542, MB/s
train observed time per epoch, "57.142, 51.818, 43.560, 42.173, 42.277", "s, s, s, s, s"
train observed time, 236.970, s
train observed rate per epoch, "65.690, 72.795, 87.465, 90.530, 90.293", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 81.354, MB/s
train throughput samples per second per epoch, "0.980, 1.081, 1.286, 1.328, 1.325", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.200, samples/s
train throughput stdev samples per second, 0.143, samples/s
train io avg, 76.784, MB/s
train io stdev, 9.133, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.290, 0.836, 1.341, 2.302, 2.062", "s, s, s, s, s"
eval metadata time, 7.832, s
eval raw read time per epoch, "5.795, 6.345, 5.645, 4.809, 5.284", "s, s, s, s, s"
eval total raw read time, 27.878, s
eval raw read rate per epoch, "154.495, 141.144, 158.310, 185.966, 168.800", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 162.090, MB/s
eval observed time per epoch, "20.311, 18.712, 18.213, 18.163, 18.389", "s, s, s, s, s"
eval observed time, 93.788, s
eval observed rate per epoch, "49.640, 54.465, 56.167, 56.345, 55.554", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.434, MB/s
eval throughput samples per second per epoch, "0.689, 0.748, 0.769, 0.771, 0.761", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.748, samples/s
eval throughput stdev samples per second, 0.030, samples/s
eval io avg, 47.849, MB/s
eval io stdev, 1.935, MB/s
