metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "5.357, 4.773, 4.024, 3.657, 4.777", "s, s, s, s, s"
train metadata time, 22.587, s
train raw read time per epoch, "23.606, 24.251, 24.603, 24.799, 23.489", "s, s, s, s, s"
train total raw read time, 120.748, s
train raw read rate per epoch, "151.825, 147.788, 145.671, 144.521, 152.580", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 148.478, MB/s
train observed time per epoch, "55.570, 49.201, 47.985, 46.411, 46.063", "s, s, s, s, s"
train observed time, 245.230, s
train observed rate per epoch, "67.640, 76.882, 78.940, 81.775, 82.430", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 77.533, MB/s
train throughput samples per second per epoch, "1.008, 1.138, 1.167, 1.207, 1.216", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.147, samples/s
train throughput stdev samples per second, 0.075, samples/s
train io avg, 73.411, MB/s
train io stdev, 4.802, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.358, 1.321, 0.680, 1.352, 1.315", "s, s, s, s, s"
eval metadata time, 6.025, s
eval raw read time per epoch, "5.625, 5.359, 6.085, 5.731, 5.675", "s, s, s, s, s"
eval total raw read time, 28.476, s
eval raw read rate per epoch, "159.263, 166.893, 146.865, 155.448, 157.355", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 157.589, MB/s
eval observed time per epoch, "19.284, 18.784, 17.526, 17.964, 18.433", "s, s, s, s, s"
eval observed time, 91.991, s
eval observed rate per epoch, "52.635, 54.226, 58.695, 57.060, 55.403", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.604, MB/s
eval throughput samples per second per epoch, "0.726, 0.745, 0.799, 0.779, 0.760", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.762, samples/s
eval throughput stdev samples per second, 0.025, samples/s
eval io avg, 48.754, MB/s
eval io stdev, 1.628, MB/s
